ENST00000592379 	ENST00000422514 ENST00000582736 ENST00000475608 ENST00000471152 ENST00000438478 	133 	619 21 6 6 19 	138 	619 21 6 6 19 	48 	51 51 51 51 51 
ENST00000528626 ENST00000524993 	ENST00000396822 ENST00000020945 	1808 1897 	1111 917 	1818 1907 	1111 917 	31 31 	53 53 
ENST00000557845 ENST00000604604 	ENST00000481729 ENST00000476192 ENST00000489060 ENST00000497426 ENST00000310613 ENST00000474698 	260 479 	520 5258 2241 5258 3448 5257 	260 479 	520 5258 2241 5258 3448 5257 	53 53 	52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	346 	79 22 	346 	79 22 	53 	51 51 
ENST00000449131 	ENST00000530019 ENST00000492727 	3744 	319 111 	3744 	319 111 	53 	53 53 
ENST00000471389 ENST00000463855 ENST00000268349 ENST00000394645 	ENST00000585331 ENST00000586445 ENST00000317615 ENST00000590217 	3674 2442 2185 791 	401 465 1104 507 	3674 2442 2185 791 	401 465 1104 507 	38 38 38 38 	52 52 52 52 
ENST00000525730 	ENST00000524614 ENST00000416656 	131 	259 307 	131 	259 307 	53 	52 52 
ENST00000373484 	ENST00000463378 	3355 	815 	3355 	815 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4129 	45 66 45 	4129 	45 66 45 	51 	52 52 52 
ENST00000262866 	ENST00000558530 	2676 	805 	2676 	805 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	76 19 	351 	76 19 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	85 83 225 	3744 	85 83 225 	53 	53 53 53 
ENST00000314675 	ENST00000319041 	2067 	599 	2067 	599 	53 	52 
ENST00000361681 	ENST00000361567 	493 	1743 	493 	1743 	32 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3491 	789 322 340 173 206 204 345 545 345 377 345 322 	3491 	789 322 340 173 206 204 345 545 345 377 345 322 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000339021 ENST00000478158 ENST00000509041 ENST00000537927 ENST00000318304 ENST00000228425 ENST00000296328 ENST00000469130 	ENST00000397766 	153 942 1363 3981 4262 4194 5369 3275 	2172 	174 963 1384 4002 4283 4215 5390 3296 	2173 	32 32 32 32 32 32 32 32 	52 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 	1930 529 271 	561 	1930 529 271 	561 	53 53 53 	53 
ENST00000514205 ENST00000577702 ENST00000310827 ENST00000514623 	ENST00000358546 	429 4373 4372 3001 	579 	429 4373 4372 3001 	579 	51 51 51 51 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	99 97 239 	3744 	99 97 239 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3490 	815 348 371 366 372 373 571 371 371 348 	3490 	815 348 371 366 372 373 571 371 371 348 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4159 	52 71 73 52 	4159 	52 71 73 52 	52 	53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1093 1110 	142 	1093 1110 	142 	53 53 	53 
ENST00000592379 	ENST00000475608 	150 	13 	150 	13 	53 	52 
ENST00000592379 	ENST00000582736 ENST00000475608 	39 	51 36 	39 	51 36 	53 	52 52 
ENST00000515098 ENST00000513162 	ENST00000502263 ENST00000514354 ENST00000511078 ENST00000510363 ENST00000335274 	3266 4024 	25 231 243 233 166 	3266 4024 	25 231 243 233 166 	51 51 	48 48 48 48 48 
ENST00000508814 	ENST00000510019 	308 	258 	308 	258 	53 	50 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	280 211 	136 146 191 	280 211 	136 146 191 	53 53 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	463 	116 75 	463 	116 75 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	354 	80 23 	354 	80 23 	53 	50 50 
ENST00000521703 ENST00000517820 ENST00000520733 ENST00000524128 	ENST00000414579 	517 303 260 511 	1498 	517 303 260 511 	1498 	53 53 53 53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	369 	79 22 	369 	79 22 	53 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	353 	76 19 	353 	76 19 	51 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3491 	825 358 381 376 382 383 381 358 	3491 	825 358 381 376 382 383 381 358 	53 	53 53 53 53 53 53 53 53 
ENST00000397779 ENST00000537364 ENST00000590843 ENST00000585712 	ENST00000319545 	219 1096 1632 299 	2171 	219 1096 1632 299 	2190 	31 31 31 31 	33 
ENST00000514253 	ENST00000511844 	500 	119 	502 	120 	51 	52 
ENST00000370112 	ENST00000492378 	1816 	563 	1824 	580 	37 	31 
ENST00000560723 	ENST00000559556 	413 	891 	413 	891 	53 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	32 	48 33 	37 	48 33 	41 	53 53 
ENST00000599515 	ENST00000471235 	470 	561 	470 	561 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	470 	136 95 	471 	136 95 	51 	41 41 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3061 2962 2716 	304 	3061 2962 2716 	304 	53 53 53 	52 
ENST00000314675 	ENST00000319041 	2117 	598 	2117 	598 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	211 93 91 233 211 	3746 	212 94 92 234 212 	51 	50 50 50 50 50 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3746 	97 95 237 	3746 	97 95 237 	53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1151 1168 	270 	1151 1168 	270 	53 53 	52 
ENST00000377065 ENST00000397050 	ENST00000497035 ENST00000396651 ENST00000470475 ENST00000485390 	109 109 	366 307 166 541 	109 109 	366 307 166 541 	53 53 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 ENST00000431591 ENST00000397651 	1274 	615 556 328 391 391 391 583 	1274 	615 556 328 391 391 391 583 	51 	53 53 53 53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	96 298 98 98 	4144 	96 298 98 98 	52 	50 50 50 50 
ENST00000362079 	ENST00000466508 ENST00000055335 ENST00000495799 ENST00000376188 ENST00000438316 ENST00000601796 ENST00000597320 ENST00000596845 ENST00000599468 ENST00000596830 	599 	925 1591 632 1198 925 925 925 1591 632 1198 	599 	925 1591 632 1198 925 925 925 1591 632 1198 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000604452 	ENST00000300177 ENST00000560830 ENST00000322805 	1526 	1862 1709 1550 	1526 	1862 1709 1550 	53 	53 53 53 
ENST00000565781 ENST00000566210 	ENST00000464848 ENST00000476296 	2457 7 	2516 2667 	2466 16 	2535 2686 	43 43 	34 34 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 	1976 575 317 	596 	1976 575 317 	596 	53 53 53 	52 
ENST00000449131 	ENST00000331825 	3362 	582 	3362 	582 	52 	52 
ENST00000447611 	ENST00000526671 	3615 	654 	3615 	655 	52 	52 
ENST00000427908 	ENST00000510797 ENST00000510701 	1178 	640 353 	1178 	640 353 	53 	33 33 
ENST00000427908 	ENST00000510797 ENST00000510701 	1178 	640 353 	1178 	640 353 	53 	33 33 
ENST00000526743 	ENST00000528784 ENST00000534706 ENST00000526711 	1104 	703 672 570 	1104 	703 672 570 	49 	53 53 53 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2243 	517 556 414 1643 	2243 	517 556 414 1643 	53 	52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	79 22 	351 	79 22 	53 	51 51 
ENST00000373230 	ENST00000526623 	650 	1336 	669 	1336 	34 	52 
ENST00000564725 ENST00000333421 ENST00000281950 ENST00000538291 	ENST00000259253 ENST00000375990 	2559 2097 2126 4326 	6404 6688 	2559 2097 2126 4326 	6404 6688 	32 32 32 32 	53 53 
ENST00000592379 	ENST00000475608 	54 	36 	54 	36 	53 	52 
ENST00000449131 	ENST00000492727 	4177 	96 	4177 	96 	53 	50 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3379 	798 331 349 215 213 354 386 354 331 	3379 	798 331 349 215 213 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 
ENST00000549541 ENST00000550621 ENST00000546551 	ENST00000473095 	190 190 190 	606 	190 190 190 	606 	34 34 34 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	359 	80 23 	359 	80 23 	53 	50 50 
ENST00000449131 	ENST00000492727 ENST00000450676 	4164 	107 109 	4164 	107 109 	51 	52 52 
ENST00000526743 	ENST00000528784 ENST00000526711 	1112 	830 697 	1112 	830 697 	52 	50 50 
ENST00000472842 ENST00000446488 ENST00000304521 	ENST00000449592 ENST00000541467 ENST00000538055 	2738 4915 4971 	3055 2826 905 	2742 4919 4975 	3055 2826 905 	32 32 32 	32 32 32 
ENST00000371884 ENST00000294339 ENST00000371883 	ENST00000546088 ENST00000530769 ENST00000529435 ENST00000530089 	3557 3918 3924 	1038 711 101 1020 	3562 3923 3929 	1038 711 101 1020 	33 33 33 	53 53 53 53 
ENST00000314675 	ENST00000319041 	2089 	572 	2089 	572 	53 	52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1943 2075 2522 	286 	1946 2078 2525 	286 	50 50 50 	53 
ENST00000381210 	ENST00000309733 ENST00000394511 ENST00000478538 ENST00000483793 ENST00000473559 	1613 	6588 168 45 3788 2099 	1624 	6588 168 45 3788 2099 	41 	53 53 53 53 53 
ENST00000419932 	ENST00000360864 ENST00000470551 	289 	1005 1079 	293 	1005 1079 	49 	53 53 
ENST00000513148 	ENST00000360428 ENST00000434452 ENST00000579905 ENST00000296318 	1868 	4864 4981 1114 6195 	1886 	4864 4981 1114 6195 	31 	52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4149 	79 81 	4149 	79 81 	52 	52 52 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1265 1432 1229 1253 1160 585 1355 1265 	456 	1266 1433 1230 1254 1161 586 1356 1266 	456 	52 52 52 52 52 52 52 52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3460 	789 322 340 173 206 204 345 545 345 377 345 322 	3460 	789 322 340 173 206 204 345 545 345 377 345 322 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	279 	186 196 241 	279 	186 196 241 	53 	53 53 53 
ENST00000361681 	ENST00000361567 	469 	1650 	469 	1650 	53 	52 
ENST00000361033 ENST00000334660 ENST00000481782 ENST00000592904 ENST00000549050 ENST00000547793 ENST00000564769 ENST00000491769 ENST00000395894 ENST00000464847 ENST00000421016 ENST00000370272 ENST00000258538 ENST00000600584 ENST00000367941 ENST00000480380 ENST00000557012 ENST00000550473 ENST00000415616 ENST00000452932 	ENST00000381774 	3170 1938 898 812 -3 -15 960 2724 2574 2747 2677 5488 2826 217 12787 248 319 159 913 141 	2900 	3185 1953 913 827 12 0 975 2739 2589 2762 2692 5503 2841 232 12802 263 334 174 928 156 	2900 	38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	74 17 	381 	74 17 	53 	53 53 
ENST00000359651 	ENST00000309033 	1011 	3823 	1022 	3827 	37 	36 
ENST00000593496 	ENST00000487431 ENST00000348462 ENST00000450819 ENST00000593917 ENST00000433398 ENST00000598872 	93 	574 245 194 196 194 193 	93 	574 245 194 196 194 193 	52 	53 53 53 53 53 53 
ENST00000592379 	ENST00000475608 	150 	6 	150 	6 	53 	52 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4163 	45 66 45 	4163 	45 66 45 	52 	52 52 52 
ENST00000394289 ENST00000511717 	ENST00000518582 	5185 16 	71 	5190 21 	71 	47 47 	48 
ENST00000242848 ENST00000282007 	ENST00000370440 ENST00000347275 ENST00000337393 	2578 2300 	5168 1508 5191 	2578 2300 	5168 1508 5191 	50 50 	53 53 53 
ENST00000449131 	ENST00000435706 ENST00000424225 ENST00000264331 	3459 	2865 2738 2678 	3459 	2865 2738 2678 	53 	38 38 38 
ENST00000419932 	ENST00000270221 ENST00000597529 ENST00000599255 	145 	251 29 15 	152 	251 29 15 	38 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	174 	1091 1108 	174 	50 50 	53 
ENST00000307980 ENST00000535644 	ENST00000358239 	2030 1534 	992 	2030 1534 	992 	53 53 	33 
ENST00000258873 	ENST00000316292 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000495333 ENST00000434005 ENST00000318052 ENST00000436459 ENST00000501580 ENST00000443590 	4716 	1568 1195 609 821 717 575 573 576 571 577 	4716 	1568 1195 609 821 717 575 573 576 571 577 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3480 	814 347 370 365 371 372 570 370 402 370 347 	3481 	814 347 370 365 371 372 570 370 402 370 347 	52 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	188 	1091 1108 	188 	50 50 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	145 104 	484 	145 104 	53 	53 53 
ENST00000520509 ENST00000308108 	ENST00000519736 ENST00000521155 ENST00000523352 	2813 2666 	693 277 59 	2813 2666 	693 277 59 	53 53 	52 52 52 
ENST00000547993 	ENST00000539463 	45 	254 	45 	254 	53 	51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	72 70 212 	3747 	72 70 212 	53 	52 52 52 
ENST00000307980 ENST00000535644 	ENST00000358239 	2023 1527 	903 	2023 1527 	903 	53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	77 20 	376 	77 20 	53 	52 52 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3494 	784 335 168 201 199 340 540 340 372 340 	3494 	784 335 168 201 199 340 540 340 372 340 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000570037 ENST00000562111 	ENST00000569248 ENST00000565813 	786 739 	1744 193 	786 739 	1744 193 	53 53 	53 53 
ENST00000550466 ENST00000553262 	ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000504880 ENST00000581050 	557 557 	951 965 951 965 892 995 	568 568 	951 965 951 965 892 995 	42 42 	53 53 53 53 53 53 
ENST00000306984 	ENST00000530588 	5670 	260 	5670 	265 	53 	47 
ENST00000344843 ENST00000493287 ENST00000487659 	ENST00000447725 	612 400 1589 	1677 	612 400 1589 	1677 	53 53 53 	52 
ENST00000427358 ENST00000366221 ENST00000589889 ENST00000458605 	ENST00000371703 	882 845 388 2139 	2258 	882 845 388 2139 	2258 	53 53 53 53 	51 
ENST00000338641 ENST00000361452 ENST00000413209 ENST00000347330 	ENST00000231188 	3574 3437 2286 2803 	3526 	3579 3442 2291 2808 	3533 	32 32 32 32 	46 
ENST00000308418 ENST00000531596 	ENST00000525600 	1317 585 	443 	1317 585 	443 	53 53 	52 
ENST00000549524 	ENST00000548655 ENST00000549999 	3301 	870 3330 	3301 	870 3330 	53 	53 53 
ENST00000526743 	ENST00000534706 	1855 	685 	1855 	685 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3053 2954 2708 	300 	3053 2954 2708 	300 	53 53 53 	53 
ENST00000592379 	ENST00000582736 	12 	125 	12 	125 	53 	53 
ENST00000395270 ENST00000575107 	ENST00000428206 ENST00000471461 ENST00000252594 ENST00000438747 ENST00000310326 ENST00000455763 ENST00000575600 ENST00000573285 ENST00000570494 ENST00000573847 ENST00000577167 ENST00000577067 ENST00000393633 ENST00000457988 ENST00000455158 ENST00000421140 ENST00000422386 ENST00000428392 	5417 5417 	520 1319 636 697 646 243 520 1319 636 697 646 243 3546 589 339 750 186 525 	5417 5417 	523 1322 639 700 649 246 523 1322 639 700 649 246 3549 592 342 753 189 528 	53 53 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4151 	108 310 110 110 	4151 	108 310 110 110 	50 	53 53 53 53 
ENST00000391457 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000426059 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	785 	563 564 564 564 668 564 569 563 564 569 564 564 564 564 	786 	563 564 564 564 668 564 569 563 564 569 564 564 564 564 	52 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000371287 ENST00000470142 ENST00000393549 ENST00000532828 ENST00000457107 	ENST00000409707 ENST00000452725 ENST00000432295 ENST00000424659 ENST00000394070 ENST00000536064 ENST00000478946 ENST00000339566 ENST00000394073 	1967 3905 3902 3254 2589 	369 470 524 415 825 480 446 372 511 	1980 3918 3915 3267 2602 	369 470 524 415 825 480 446 372 511 	34 34 34 34 34 	51 51 51 51 51 51 51 51 51 
ENST00000551944 ENST00000550977 	ENST00000483793 ENST00000223073 ENST00000463753 	3307 2170 	3600 15442 2906 	3307 2170 	3600 15442 2906 	52 52 	53 53 53 
ENST00000450479 	ENST00000400682 ENST00000383621 ENST00000491141 ENST00000383623 ENST00000383622 ENST00000469472 ENST00000553052 ENST00000496419 ENST00000423509 ENST00000430940 ENST00000422726 ENST00000476248 ENST00000424832 ENST00000464914 ENST00000457806 ENST00000462851 ENST00000497204 ENST00000431930 ENST00000444289 ENST00000416096 ENST00000485166 ENST00000468995 ENST00000465498 ENST00000552193 ENST00000551578 ENST00000551120 ENST00000495635 ENST00000458192 ENST00000422921 ENST00000456487 ENST00000479595 ENST00000420206 ENST00000495725 ENST00000454033 ENST00000494823 ENST00000482179 ENST00000420559 ENST00000423373 ENST00000484755 ENST00000452577 ENST00000469347 ENST00000457132 ENST00000546634 ENST00000422371 ENST00000428952 ENST00000459768 ENST00000426863 ENST00000467814 ENST00000429890 ENST00000550897 ENST00000465497 ENST00000453809 ENST00000414249 ENST00000419590 ENST00000488273 ENST00000438171 ENST00000495898 ENST00000437368 ENST00000480429 ENST00000495207 ENST00000552865 ENST00000376828 ENST00000360323 ENST00000478355 ENST00000376818 ENST00000478519 ENST00000376815 ENST00000428701 ENST00000434881 ENST00000423011 ENST00000448306 ENST00000430253 ENST00000480953 ENST00000434907 ENST00000547241 ENST00000450984 ENST00000449127 ENST00000494247 ENST00000412263 ENST00000466488 ENST00000415687 ENST00000547931 ENST00000481588 ENST00000419135 ENST00000433153 ENST00000429840 ENST00000491984 ENST00000457903 ENST00000479546 ENST00000445075 ENST00000467922 ENST00000482006 ENST00000487245 ENST00000376228 ENST00000383329 ENST00000376237 ENST00000415537 ENST00000495835 ENST00000484378 ENST00000400665 ENST00000444098 ENST00000445373 ENST00000486553 ENST00000478108 ENST00000452715 ENST00000546545 ENST00000443552 ENST00000417978 ENST00000442939 ENST00000490454 ENST00000479675 ENST00000479969 ENST00000549869 ENST00000547112 ENST00000552498 ENST00000582523 ENST00000583373 ENST00000583265 ENST00000579721 ENST00000437770 ENST00000431463 ENST00000430151 ENST00000455932 ENST00000418780 ENST00000435780 ENST00000428988 ENST00000582807 	143 	216 153 129 129 129 129 307 238 144 144 151 163 188 131 127 318 148 467 438 134 131 129 129 151 173 173 238 144 144 151 163 188 131 127 318 148 216 153 129 129 129 129 307 216 153 129 129 129 129 307 238 144 144 151 163 188 131 127 318 148 134 216 153 129 129 129 129 307 216 153 129 129 129 129 307 216 153 129 129 129 129 307 238 144 144 151 163 188 131 127 318 148 238 144 144 163 127 318 148 216 153 129 129 129 129 307 467 438 134 131 129 129 151 173 173 216 216 213 129 128 128 128 128 128 128 128 128 	147 	235 172 148 148 148 148 326 257 163 163 170 182 207 150 146 337 167 486 457 153 150 148 148 170 192 192 257 163 163 170 182 207 150 146 337 167 235 172 148 148 148 148 326 235 172 148 148 148 148 326 257 163 163 170 182 207 150 146 337 167 153 235 172 148 148 148 148 326 235 172 148 148 148 148 326 235 172 148 148 148 148 326 257 163 163 170 182 207 150 146 337 167 257 163 163 182 146 337 167 235 172 148 148 148 148 326 486 457 153 150 148 148 170 192 192 235 235 232 148 147 147 147 147 147 147 147 147 	49 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 
ENST00000449131 	ENST00000517577 	3741 	241 	3741 	241 	52 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	40 	49 34 	40 	49 34 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	463 	215 40 	463 	215 40 	53 	53 53 
ENST00000366559 ENST00000366557 	ENST00000462265 	4233 3860 	542 	4233 3860 	542 	51 51 	53 
ENST00000320934 	ENST00000392951 ENST00000525531 ENST00000529622 	4396 	692 828 417 	4396 	692 828 417 	53 	51 51 51 
ENST00000361681 	ENST00000361567 	469 	1706 	469 	1706 	53 	53 
ENST00000449131 	ENST00000517577 	3742 	239 	3742 	239 	53 	53 
ENST00000538183 ENST00000309733 ENST00000478538 ENST00000312675 ENST00000543006 ENST00000476192 ENST00000558583 ENST00000518152 ENST00000497426 ENST00000474698 	ENST00000493254 ENST00000556347 ENST00000229465 	7195 6623 80 13377 13320 4684 5779 420 4684 4683 	2039 725 869 	7199 6627 84 13381 13324 4688 5783 424 4688 4687 	2039 725 869 	49 49 49 49 49 49 49 49 49 49 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1149 1166 	277 	1149 1166 	277 	52 52 	53 
ENST00000592379 	ENST00000475608 	56 	23 	56 	23 	53 	44 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	83 26 	351 	83 26 	53 	50 50 
ENST00000243045 	ENST00000317287 	1970 	2638 	1970 	2638 	50 	53 
ENST00000361567 	ENST00000369799 ENST00000475081 ENST00000359172 ENST00000393614 	66 	985 631 819 806 	66 	985 631 819 806 	53 	52 52 52 52 
ENST00000483195 ENST00000394019 ENST00000346834 ENST00000359484 ENST00000423644 	ENST00000489520 	5959 5731 5488 5425 5552 	50 	5980 5752 5509 5446 5573 	50 	31 31 31 31 31 	53 
ENST00000502378 	ENST00000335351 	882 	1299 	882 	1299 	51 	53 
ENST00000219548 	ENST00000565258 	1410 	396 	1410 	396 	53 	53 
ENST00000539903 ENST00000485920 	ENST00000468078 	2708 2703 	341 	2708 2703 	341 	49 49 	53 
ENST00000476781 	ENST00000392662 	1253 	1771 	1253 	1771 	51 	53 
ENST00000449131 	ENST00000492727 	4177 	76 	4178 	76 	52 	53 
ENST00000406213 	ENST00000579649 ENST00000577222 ENST00000347512 ENST00000590786 ENST00000579446 ENST00000394580 	722 	194 653 243 851 133 301 	722 	194 653 243 851 133 301 	53 	51 51 51 51 51 51 
ENST00000449131 	ENST00000492727 	4177 	76 	4177 	76 	53 	53 
ENST00000575332 ENST00000574674 	ENST00000574598 	2515 568 	709 	2515 568 	709 	52 52 	53 
ENST00000569076 ENST00000566753 	ENST00000538183 ENST00000546977 ENST00000548969 	226 366 	8858 74 21 	226 366 	8876 92 39 	53 53 	34 34 34 
ENST00000372242 ENST00000372243 ENST00000372244 	ENST00000471494 ENST00000497469 	523 256 149 	628 498 	523 256 149 	628 498 	53 53 53 	52 52 
ENST00000526842 	ENST00000262878 	71 	4311 	82 	4311 	42 	42 
ENST00000592379 	ENST00000582736 	12 	117 	12 	117 	53 	53 
ENST00000594325 	ENST00000595158 ENST00000598780 	929 	142 97 	929 	142 97 	52 	53 53 
ENST00000598338 	ENST00000570603 ENST00000573025 ENST00000573464 ENST00000574244 ENST00000532567 ENST00000527791 ENST00000527673 ENST00000527853 ENST00000427600 ENST00000457822 ENST00000476147 ENST00000540179 ENST00000469891 ENST00000327878 	1384 	340 543 667 1308 340 543 667 1308 247 258 258 258 263 258 	1384 	340 543 667 1308 340 543 667 1308 247 258 258 258 263 258 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	447 	1764 1764 	447 	1764 1764 	53 	48 48 
ENST00000361681 	ENST00000361567 ENST00000511037 	447 	1764 1764 	447 	1764 1764 	53 	48 48 
ENST00000592379 	ENST00000475608 	72 	13 	72 	13 	53 	52 
ENST00000476243 	ENST00000431149 	1040 	666 	1040 	666 	53 	33 
ENST00000570780 ENST00000391950 	ENST00000520547 	1152 1169 	255 	1152 1169 	255 	53 53 	52 
ENST00000526743 	ENST00000528784 	1451 	808 	1451 	808 	53 	53 
ENST00000594325 	ENST00000598780 	858 	196 	858 	196 	53 	34 
ENST00000436110 	ENST00000380118 ENST00000380125 ENST00000496241 ENST00000380120 ENST00000478266 ENST00000464057 ENST00000361538 ENST00000465828 ENST00000464583 ENST00000413766 	673 	1291 1293 1346 1366 1034 2023 1281 1450 3773 1291 	673 	1291 1293 1346 1366 1034 2023 1281 1450 3773 1291 	52 	52 52 52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	72 15 	350 	72 15 	53 	52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	350 	87 30 	350 	87 30 	53 	50 50 
ENST00000309955 	ENST00000460216 ENST00000445123 ENST00000295240 ENST00000392663 ENST00000472667 	4266 	216 1072 2471 2103 1866 	4274 	216 1072 2471 2103 1866 	45 	39 39 39 39 39 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3470 	782 333 166 199 197 338 538 338 370 338 	3470 	782 333 166 199 197 338 538 338 370 338 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000578332 	ENST00000515175 ENST00000513414 ENST00000510040 	1005 	138 65 7 	1005 	152 79 21 	53 	38 38 38 
ENST00000314675 	ENST00000319041 	2118 	381 	2118 	381 	53 	53 
