ENST00000361681 ENST00000506002 	ENST00000361567 ENST00000511037 	426 426 	1778 1778 	426 426 	1778 1778 	53 53 	34 34 
ENST00000361567 ENST00000511037 	ENST00000361681 ENST00000506002 	1766 1766 	429 429 	1766 1766 	429 429 	46 46 	53 53 
ENST00000393950 ENST00000424091 	ENST00000223095 ENST00000445463 	95 49 	1852 1798 	95 49 	1868 1814 	41 41 	37 37 
ENST00000262866 	ENST00000558530 	2646 	758 	2646 	758 	53 	53 
ENST00000419932 	ENST00000429711 ENST00000273223 ENST00000435983 ENST00000396953 ENST00000457131 ENST00000396957 ENST00000487895 ENST00000392422 	242 	373 385 441 1565 428 466 273 328 	242 	373 385 441 1565 428 466 273 328 	50 	52 52 52 52 52 52 52 52 
ENST00000463943 	ENST00000290219 ENST00000439213 ENST00000381995 ENST00000405436 ENST00000576463 ENST00000572016 ENST00000573079 ENST00000571550 	389 	759 416 280 241 759 416 280 241 	389 	759 416 280 241 759 416 280 241 	53 	51 51 51 51 51 51 51 51 
ENST00000570780 ENST00000391950 	ENST00000441206 	1100 1117 	259 	1100 1117 	259 	53 53 	53 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000477007 	278 	63 63 63 	278 	63 63 63 	53 	53 53 53 
ENST00000229214 	ENST00000456650 ENST00000550491 	1953 	605 582 	1953 	607 584 	53 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	353 	86 29 	353 	86 29 	51 	51 51 
ENST00000508814 	ENST00000510019 	306 	241 	306 	241 	53 	53 
ENST00000419932 	ENST00000286800 ENST00000399921 ENST00000451655 ENST00000447177 ENST00000435072 	307 	600 700 560 548 637 	307 	600 700 560 548 637 	40 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 	46 	58 	46 	58 	53 	53 
ENST00000355520 ENST00000261200 	ENST00000312675 ENST00000543006 ENST00000469718 	7027 6622 	13590 13533 679 	7027 6622 	13590 13533 679 	52 52 	53 53 53 
ENST00000538046 ENST00000373191 ENST00000287263 ENST00000330843 ENST00000606758 	ENST00000593095 ENST00000587681 	2058 17030 4297 6186 2058 	385 375 	2058 17030 4297 6186 2058 	385 375 	52 52 52 52 52 	53 53 
ENST00000416501 	ENST00000300896 ENST00000592339 	1222 	4709 3594 	1222 	4709 3594 	53 	53 53 
ENST00000395270 ENST00000575107 	ENST00000602348 ENST00000422386 ENST00000602283 	4882 4882 	217 201 217 	4882 4882 	217 201 217 	53 53 	53 53 53 
ENST00000588408 	ENST00000589663 	2267 	424 	2267 	424 	53 	53 
ENST00000514253 	ENST00000510019 	443 	189 	443 	189 	53 	51 
ENST00000514253 	ENST00000510019 	447 	200 	447 	200 	53 	52 
ENST00000353047 ENST00000434271 	ENST00000358869 ENST00000504986 ENST00000325094 	3463 3447 	2570 3100 3068 	3463 3447 	2570 3100 3068 	53 53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3421 	813 346 369 364 370 371 569 369 401 369 346 	3422 	813 346 369 364 370 371 569 369 401 369 346 	52 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3480 	796 329 347 213 211 552 352 384 352 329 	3481 	796 329 347 213 211 552 352 384 352 329 	52 	51 51 51 51 51 51 51 51 51 51 
ENST00000604922 	ENST00000503002 ENST00000487100 ENST00000382175 	332 	404 230 104 	332 	404 230 104 	53 	52 52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3755 	97 95 237 	3755 	97 95 237 	52 	53 53 53 
ENST00000246186 	ENST00000376521 ENST00000445167 ENST00000595933 ENST00000597583 	4110 	2275 1383 2275 1383 	4110 	2275 1383 2275 1383 	52 	53 53 53 53 
ENST00000314675 	ENST00000319041 	2102 	598 	2102 	598 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	77 20 	363 	77 20 	53 	52 52 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4523 4618 639 4521 	587 	4523 4618 639 4521 	587 	53 53 53 53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4132 	77 79 	4132 	77 79 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000314675 	ENST00000319041 	2117 	581 	2117 	581 	53 	53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 ENST00000222190 	251 249 237 221 	1 7 	251 249 237 221 	8 14 	53 53 53 53 	46 46 
ENST00000534030 	ENST00000530320 	413 	573 	413 	573 	53 	52 
ENST00000526743 	ENST00000534706 	1852 	685 	1852 	685 	53 	53 
ENST00000459812 ENST00000468814 ENST00000493809 ENST00000480383 ENST00000476214 ENST00000422437 ENST00000483565 	ENST00000477154 ENST00000476469 ENST00000475368 ENST00000475878 ENST00000469628 ENST00000476663 ENST00000469621 	2488 2488 2488 2488 2485 2488 2488 	660 660 660 660 660 660 660 	2488 2488 2488 2488 2485 2488 2488 	660 660 660 660 660 660 660 	53 53 53 53 53 53 53 	52 52 52 52 52 52 52 
ENST00000514253 	ENST00000510019 	484 	191 	484 	191 	53 	53 
ENST00000598758 	ENST00000600493 	479 	447 	479 	447 	53 	53 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	283 1903 	2997 2981 	283 1903 	2997 2981 	34 34 	52 52 
ENST00000419932 	ENST00000370994 ENST00000370995 	139 	2096 2130 	152 	2096 2130 	38 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3487 	826 359 382 377 383 384 382 359 	3487 	826 359 382 377 383 384 382 359 	51 	53 53 53 53 53 53 53 53 
ENST00000309733 ENST00000489060 ENST00000506474 ENST00000518152 ENST00000519167 	ENST00000409562 ENST00000493254 	6649 1693 178 446 236 	2738 2057 	6655 1699 184 452 242 	2738 2057 	42 42 42 42 42 	53 53 
ENST00000554081 	ENST00000531008 ENST00000531908 ENST00000228140 ENST00000526895 ENST00000525634 ENST00000525828 	2873 	454 606 351 421 506 528 	2873 	454 606 351 421 506 528 	53 	52 52 52 52 52 52 
ENST00000229214 	ENST00000399302 	1680 	8048 	1680 	8048 	53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000354785 ENST00000356005 ENST00000456923 ENST00000485567 ENST00000460217 ENST00000438981 ENST00000359671 	3044 2945 2699 	6909 6262 2417 356 584 548 6532 	3044 2945 2699 	6909 6262 2417 356 584 548 6532 	51 51 51 	53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	40 	94 	40 	94 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000429412 ENST00000546113 ENST00000309733 ENST00000604015 	ENST00000552937 ENST00000549640 ENST00000549785 ENST00000550234 ENST00000547979 	1799 1799 7471 269 	121 121 121 121 121 	1807 1807 7479 277 	121 121 121 121 121 	45 45 45 45 	53 53 53 53 53 
ENST00000553362 	ENST00000216286 ENST00000541773 	629 	4692 4389 	629 	4692 4389 	53 	53 53 
ENST00000418930 ENST00000416274 ENST00000521429 ENST00000520225 ENST00000256117 	ENST00000421308 ENST00000520236 ENST00000524353 ENST00000518562 ENST00000518091 	1623 1464 1312 337 1470 	508 281 412 428 501 	1623 1464 1312 337 1470 	508 281 412 428 501 	53 53 53 53 53 	53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1117 1134 	277 	1117 1134 	277 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	173 132 	484 	173 132 	53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	386 	87 30 	386 	87 30 	51 	50 50 
ENST00000592379 	ENST00000475608 	63 	6 	63 	6 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3481 	828 361 384 379 385 386 384 361 	3481 	828 361 384 379 385 386 384 361 	52 	53 53 53 53 53 53 53 53 
ENST00000562514 ENST00000561679 ENST00000568563 ENST00000569349 ENST00000561621 ENST00000290881 	ENST00000568503 	404 2718 1871 2629 3394 3444 	1394 	404 2718 1871 2629 3394 3444 	1394 	53 53 53 53 53 53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	393 	80 23 	393 	80 23 	53 	50 50 
ENST00000549591 ENST00000589138 ENST00000287594 ENST00000518695 	ENST00000591639 ENST00000443905 	653 1816 2869 3528 	2281 2281 	655 1818 3552 3530 	2282 2282 	51 51 51 51 	43 43 
ENST00000570780 ENST00000391950 	ENST00000520547 	1119 1136 	275 	1119 1136 	275 	53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1147 1164 	252 	1147 1164 	252 	53 53 	52 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000599364 	4173 	50 69 50 	4173 	50 69 50 	52 	53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	355 	79 22 	357 	79 22 	51 	51 51 
ENST00000273038 	ENST00000452722 	2913 	5058 	2913 	5062 	53 	36 
ENST00000522802 	ENST00000586501 ENST00000569510 	330 	1155 2046 	350 	1155 2046 	33 	34 34 
ENST00000570780 ENST00000391950 	ENST00000520547 	1149 1166 	255 	1149 1166 	255 	52 52 	52 
ENST00000592379 	ENST00000582736 	41 	103 	41 	103 	53 	53 
ENST00000592379 	ENST00000475608 	81 	17 	82 	17 	52 	53 
ENST00000358748 ENST00000209875 ENST00000595609 	ENST00000479162 ENST00000526353 ENST00000607772 ENST00000586331 ENST00000574474 ENST00000414802 ENST00000378679 ENST00000319854 ENST00000357578 ENST00000373242 ENST00000288699 ENST00000484882 ENST00000301215 ENST00000556831 ENST00000463436 ENST00000583972 ENST00000497417 ENST00000505031 ENST00000295628 ENST00000317449 ENST00000558383 ENST00000603798 ENST00000358689 ENST00000522255 ENST00000588278 ENST00000360803 ENST00000316738 ENST00000555872 ENST00000470730 ENST00000607738 ENST00000355754 ENST00000592624 ENST00000405000 ENST00000594204 ENST00000571346 ENST00000391750 ENST00000424807 ENST00000472824 ENST00000313146 ENST00000604207 ENST00000605232 ENST00000604311 ENST00000575959 ENST00000571923 ENST00000587996 ENST00000590939 ENST00000592538 ENST00000586069 ENST00000586303 ENST00000575296 ENST00000570726 ENST00000585529 ENST00000587221 ENST00000589439 ENST00000576704 ENST00000608143 ENST00000605489 ENST00000604151 ENST00000489074 ENST00000510256 	2471 6945 2471 	2019 3646 11532 1282 3637 1463 3568 2918 3643 5163 3505 3972 3369 483 244 1759 417 155 4929 2089 6431 1852 2286 850 2663 3357 2548 2647 2042 1899 4566 1148 3683 452 662 2587 2561 2574 2699 2587 2561 1282 2587 2561 1282 1282 1282 1282 1282 2587 2561 1282 1282 1282 2561 2564 2606 2615 556 556 	2471 6945 2471 	2019 3646 11532 1282 3637 1463 3568 2918 3643 5163 3505 3972 3369 483 244 1759 417 155 4929 2089 6431 1852 2286 850 2663 3357 2548 2647 2042 1899 4566 1148 3683 452 662 2587 2561 2574 2699 2587 2561 1282 2587 2561 1282 1282 1282 1282 1282 2587 2561 1282 1282 1282 2561 2564 2606 2615 556 556 	35 35 35 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	492 	132 	492 	132 	53 	53 
ENST00000597777 	ENST00000440435 	451 	838 	451 	838 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1149 1166 	207 158 	1151 1168 	207 158 	50 50 	51 51 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	73 16 	363 	73 16 	53 	52 52 
ENST00000526743 	ENST00000534706 	1852 	674 	1852 	674 	53 	53 
ENST00000493497 	ENST00000513135 	1047 	1829 	1047 	1829 	53 	53 
ENST00000449131 	ENST00000370192 	4141 	2767 	4144 	2767 	50 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	401 	73 16 	401 	73 16 	52 	52 52 
ENST00000514253 	ENST00000511844 	496 	135 	496 	135 	53 	53 
ENST00000531383 ENST00000534026 ENST00000564733 	ENST00000554677 ENST00000423772 ENST00000469840 ENST00000481276 ENST00000573373 ENST00000486834 ENST00000607597 ENST00000427638 ENST00000411678 	1179 1013 2261 	572 364 270 1980 571 1202 42 333 2198 	1179 1013 2261 	572 364 270 1980 571 1202 42 333 2198 	53 53 53 	52 52 52 52 52 52 52 52 52 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000528382 	1272 867 1275 	212 	1272 867 1275 	212 	52 52 52 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	259 	1091 1108 	259 	50 50 	53 
ENST00000320934 	ENST00000529622 	4527 	265 	4527 	265 	51 	41 
ENST00000408926 	ENST00000557060 ENST00000551944 ENST00000409562 ENST00000550977 ENST00000604604 ENST00000229465 ENST00000469718 ENST00000602666 	3122 	2784 3329 2948 2192 1301 1097 460 2476 	3122 	2784 3329 2948 2192 1301 1097 460 2476 	39 	40 40 40 40 40 40 40 40 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 ENST00000485724 	2268 	485 524 382 1611 497 	2268 	485 524 382 1611 497 	53 	52 52 52 52 52 
ENST00000314675 	ENST00000319041 	2089 	625 	2089 	625 	53 	52 
ENST00000514253 	ENST00000510019 	443 	199 	443 	199 	53 	52 
ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	ENST00000570037 ENST00000562111 	1422 1744 591 193 	733 686 	1422 1744 591 193 	733 686 	53 53 53 53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	468 	173 132 	468 	173 132 	52 	53 53 
ENST00000314675 	ENST00000319041 	2114 	606 	2114 	606 	53 	53 
ENST00000314675 	ENST00000319041 	2120 	471 	2120 	471 	51 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	257 	1109 1126 	257 	53 53 	53 
ENST00000449131 	ENST00000314888 ENST00000464379 ENST00000466916 ENST00000540444 	3459 	6671 656 289 6353 	3459 	6671 656 289 6353 	53 	52 52 52 52 
ENST00000547408 	ENST00000394023 	601 	4195 	601 	4195 	52 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3409 	797 330 348 214 212 353 385 353 330 	3409 	797 330 348 214 212 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1160 1177 	105 143 	1160 1177 	105 143 	53 53 	53 53 
ENST00000368721 ENST00000284690 ENST00000284688 	ENST00000294189 ENST00000466397 ENST00000479017 ENST00000495383 ENST00000475248 ENST00000492277 ENST00000443998 ENST00000478358 	2225 2909 2666 	183 230 159 202 134 147 89 89 	2226 2910 2667 	183 230 159 202 134 147 89 89 	52 52 52 	50 50 50 50 50 50 50 50 
ENST00000526743 	ENST00000534706 ENST00000530016 	1854 	554 372 	1854 	554 372 	52 	53 53 
ENST00000311630 	ENST00000324545 	5143 	10640 	5152 	10644 	36 	32 
ENST00000445820 	ENST00000383605 ENST00000383619 ENST00000478740 ENST00000549224 	215 	335 303 0 47 	216 	335 303 0 47 	52 	53 53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	593 602 606 488 	359 	593 602 606 488 	44 	53 53 53 53 
ENST00000592379 	ENST00000582736 	38 	57 	38 	57 	53 	53 
ENST00000399012 ENST00000381657 ENST00000465244 ENST00000356442 ENST00000588572 ENST00000326529 ENST00000593184 ENST00000468221 ENST00000595187 ENST00000589328 ENST00000409746 ENST00000571644 ENST00000565642 ENST00000243706 ENST00000506188 ENST00000507197 ENST00000505522 ENST00000381007 	ENST00000584211 ENST00000538629 ENST00000392563 ENST00000392564 ENST00000392562 ENST00000316804 ENST00000316615 ENST00000532399 ENST00000592206 ENST00000494632 ENST00000469687 ENST00000609923 ENST00000368054 ENST00000534968 	4398 4615 1991 243 1176 1291 1717 2059 249 2341 2441 1777 2156 2423 713 522 385 2709 	1912 5277 1198 1529 2076 1595 1528 2593 256 1882 1912 5485 3358 3059 	4398 4615 1991 243 1176 1291 1717 2059 249 2341 2441 1777 2156 2423 713 522 385 2709 	1912 5277 1198 1529 2076 1595 1528 2593 256 1882 1912 5485 3358 3059 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000475608 	57 	36 	57 	36 	53 	52 
ENST00000366197 ENST00000296824 	ENST00000556816 	2515 3730 	2344 	2515 3730 	2357 	34 34 	39 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	164 123 	307 238 	164 123 	53 53 	52 52 
ENST00000562824 ENST00000563088 	ENST00000564370 	940 1007 	795 	941 1008 	795 	50 50 	53 
ENST00000493254 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000476192 ENST00000497426 ENST00000474698 ENST00000525705 	ENST00000606080 	1061 742 660 1021 7356 7348 5732 303 	4482 	1065 746 664 1025 7360 7352 5736 307 	4498 	31 31 31 31 31 31 31 31 	37 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	81 24 	364 	81 24 	53 	52 52 
ENST00000361681 	ENST00000361567 	471 	1701 	471 	1701 	51 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	103 101 243 	3744 	103 101 243 	53 	52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3407 	813 346 369 364 370 371 369 401 369 346 	3407 	813 346 369 364 370 371 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 
ENST00000594552 ENST00000597987 	ENST00000357065 ENST00000356053 ENST00000337970 ENST00000544000 ENST00000443950 	806 743 	1465 1518 1439 1524 1603 	806 743 	1465 1518 1439 1524 1603 	53 53 	51 51 51 51 51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3379 	798 331 349 215 213 354 386 354 331 	3379 	798 331 349 215 213 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	158 	1091 1108 	158 	50 50 	51 
ENST00000467703 ENST00000509910 ENST00000274459 ENST00000555000 ENST00000589328 ENST00000409746 ENST00000463788 ENST00000588348 ENST00000586372 ENST00000490044 ENST00000512818 ENST00000606567 ENST00000513407 ENST00000471529 ENST00000381007 	ENST00000559575 	1313 2488 2481 1600 2360 2460 117 1061 996 293 252 252 584 252 2728 	213 	1313 2488 2481 1600 2360 2460 117 1061 996 293 252 252 584 252 2728 	213 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	77 20 	376 	77 20 	53 	52 52 
ENST00000592379 	ENST00000475608 	73 	37 	73 	37 	53 	52 
ENST00000314595 	ENST00000514062 ENST00000537922 	3691 	289 796 	3692 	289 796 	52 	53 53 
ENST00000329627 ENST00000324288 	ENST00000458470 ENST00000287152 ENST00000601087 	17380 6342 	6380 6851 401 	17380 6342 	6380 6851 401 	52 52 	53 53 53 
ENST00000314675 	ENST00000319041 	2119 	477 	2119 	477 	52 	40 
ENST00000508814 	ENST00000510210 ENST00000512493 	287 	235 245 	287 	235 245 	53 	53 53 
ENST00000281772 	ENST00000354506 	4618 	2248 	4618 	2248 	53 	50 
ENST00000335185 	ENST00000526267 ENST00000525054 	3656 	475 516 	3656 	475 516 	52 	53 53 
ENST00000599823 	ENST00000521655 	71 	307 	71 	307 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	145 104 	484 	145 104 	53 	53 53 
ENST00000603027 	ENST00000603309 	4339 	829 	4339 	829 	53 	52 
ENST00000514253 	ENST00000511844 	495 	101 	495 	101 	53 	53 
ENST00000430252 ENST00000540275 	ENST00000599232 	438 438 	25 	438 438 	25 	53 53 	53 
ENST00000392385 ENST00000551944 ENST00000409562 ENST00000604604 ENST00000261200 ENST00000295025 ENST00000600751 	ENST00000456523 	1071 3223 2842 1195 7374 8821 2517 	5152 	1071 3223 2842 1195 7374 8821 2517 	5152 	53 53 53 53 53 53 53 	53 
ENST00000538183 ENST00000309733 	ENST00000481617 	8176 7606 	2235 	8179 7609 	2235 	41 41 	33 
ENST00000366559 ENST00000366557 	ENST00000462265 	4227 3854 	488 	4227 3854 	488 	51 51 	53 
ENST00000607772 	ENST00000330374 	15354 	3295 	15362 	3309 	39 	37 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4520 4615 636 4518 	544 	4525 4620 641 4523 	544 	48 48 48 48 	53 
ENST00000558339 	ENST00000486387 ENST00000468198 	478 	570 1799 	479 	570 1799 	52 	51 51 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	279 210 	180 190 235 	279 210 	180 190 235 	53 53 	53 53 53 
ENST00000531791 ENST00000529431 	ENST00000429591 	899 379 	2160 	917 397 	2162 	34 34 	34 
ENST00000170447 	ENST00000442415 	2778 	3020 	2778 	3020 	53 	53 
ENST00000570037 ENST00000562111 	ENST00000565677 ENST00000569248 ENST00000564316 ENST00000565813 	780 733 	1390 1712 559 161 	780 733 	1390 1712 559 161 	52 52 	53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2277 2178 1932 	238 	2277 2178 1932 	238 	53 53 53 	42 
ENST00000570780 ENST00000391950 	ENST00000441206 	1086 1103 	183 	1086 1103 	183 	51 51 	53 
ENST00000478631 ENST00000371513 	ENST00000571310 ENST00000574696 ENST00000571329 ENST00000532950 ENST00000531421 ENST00000526717 	1216 1043 	591 288 626 591 288 626 	1216 1043 	591 288 626 591 288 626 	53 53 	51 51 51 51 51 51 
ENST00000508814 	ENST00000510019 	307 	255 	307 	255 	53 	52 
ENST00000477136 	ENST00000409304 ENST00000258405 ENST00000473202 ENST00000409840 ENST00000447280 	2111 	1474 1508 5343 1923 1599 	2111 	1474 1508 5343 1923 1599 	53 	53 53 53 53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	335 	1775 1775 	335 	1775 1775 	51 	37 37 
ENST00000604922 	ENST00000456312 ENST00000575155 	184 	1266 1266 	184 	1266 1266 	53 	53 53 
ENST00000536084 	ENST00000400479 	2205 	967 	2205 	967 	52 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	377 	87 30 	377 	87 30 	53 	50 50 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1948 2080 2527 	336 	1948 2080 2527 	336 	53 53 53 	53 
ENST00000332539 	ENST00000535217 	2781 	1359 	2781 	1359 	52 	53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4129 	45 66 45 	4129 	45 66 45 	51 	52 52 52 
ENST00000514253 	ENST00000510019 	463 	189 	463 	189 	53 	51 
ENST00000361681 ENST00000506002 	ENST00000361567 	425 425 	1729 	427 427 	1729 	51 51 	52 
ENST00000514253 	ENST00000510019 	463 	198 	463 	198 	53 	52 
ENST00000590577 	ENST00000392708 	55 	4298 	55 	4309 	34 	36 
ENST00000314675 	ENST00000319041 	2078 	516 	2078 	516 	52 	52 
ENST00000533820 ENST00000533129 ENST00000524773 ENST00000279247 ENST00000527323 ENST00000526468 ENST00000527897 	ENST00000263967 ENST00000462255 	954 811 836 879 976 537 384 	2056 173 	954 811 836 879 976 537 384 	2056 173 	53 53 53 53 53 53 53 	32 32 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000355068 ENST00000575001 ENST00000441206 	1152 1169 	88 144 182 39 	1152 1169 	88 144 182 39 	53 53 	53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	117 	41 	117 	53 	53 
ENST00000573605 	ENST00000222690 	40 	1149 	40 	1150 	41 	39 
ENST00000525730 	ENST00000524614 	121 	198 	121 	198 	53 	52 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2296 2197 1951 	170 299 	2298 2199 1953 	170 299 	51 51 51 	50 50 
ENST00000308059 ENST00000478428 	ENST00000421218 	5932 1871 	813 	5932 1871 	813 	52 52 	51 
ENST00000461407 	ENST00000366997 	1618 	2373 	1618 	2373 	33 	53 
ENST00000482786 ENST00000420164 ENST00000306465 	ENST00000489471 ENST00000473428 	752 483 958 	709 549 	752 483 958 	709 549 	52 52 52 	53 53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 	73 73 73 	254 254 254 	73 73 73 	254 254 254 	53 53 53 	52 52 52 
ENST00000514253 	ENST00000510019 	460 	206 	462 	206 	51 	52 
ENST00000393892 	ENST00000577172 ENST00000316603 	4067 	1339 1339 	4067 	1339 1339 	53 	53 53 
ENST00000314675 	ENST00000319041 	2068 	529 	2068 	529 	53 	53 
ENST00000264645 ENST00000394114 	ENST00000527132 ENST00000396505 ENST00000326932 	3734 2429 	621 1646 1632 	3734 2429 	621 1646 1632 	37 37 	52 52 52 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 	1342 1470 	588 541 	1343 1471 	590 543 	44 44 	43 43 
ENST00000592379 	ENST00000582736 	32 	121 	33 	121 	52 	52 
ENST00000375140 	ENST00000329281 	182 	2185 	185 	2193 	33 	41 
ENST00000361681 	ENST00000361567 	491 	1729 	491 	1729 	34 	52 
ENST00000307980 ENST00000535644 	ENST00000358239 	2023 1527 	903 	2023 1527 	903 	53 53 	53 
ENST00000344922 ENST00000344441 	ENST00000272227 ENST00000404371 ENST00000404824 ENST00000381611 ENST00000540494 	7914 7898 	807 1153 1175 965 895 	7914 7898 	807 1153 1175 965 895 	53 53 	53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3487 	789 322 340 173 206 204 345 545 345 377 345 322 	3487 	789 322 340 173 206 204 345 545 345 377 345 322 	51 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	498 	97 	498 	97 	53 	53 
ENST00000607552 	ENST00000492728 ENST00000580988 	1115 	413 413 	1115 	413 413 	39 	53 53 
ENST00000366559 ENST00000366557 	ENST00000478849 	4180 3807 	739 	4180 3807 	739 	52 52 	52 
ENST00000478113 ENST00000395465 	ENST00000563996 	3472 4064 	1039 	3474 4066 	1048 	51 51 	44 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3407 	797 330 348 214 212 353 385 353 330 	3407 	797 330 348 214 212 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 
ENST00000514253 	ENST00000510019 ENST00000511844 	477 	111 70 	477 	111 70 	53 	53 53 
