ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	159 118 	304 235 	159 118 	50 50 	53 53 
ENST00000557845 	ENST00000429412 ENST00000546113 ENST00000309733 ENST00000481729 ENST00000476192 ENST00000497426 ENST00000310613 ENST00000474698 	299 	1526 1526 7198 521 5259 5259 3449 5258 	311 	1526 1526 7198 521 5259 5259 3449 5258 	38 	35 35 35 35 35 35 35 35 
ENST00000463943 	ENST00000394440 ENST00000544079 ENST00000538252 ENST00000544185 	351 	677 439 720 288 	351 	677 439 720 288 	53 	52 52 52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	149 108 	443 	149 108 	53 	44 44 
ENST00000514253 	ENST00000511844 	495 	67 	495 	67 	53 	51 
ENST00000592379 	ENST00000475608 	140 	6 	140 	6 	51 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000450676 ENST00000599364 	3482 	798 331 349 215 213 554 354 354 331 	3482 	798 331 349 215 213 554 354 354 331 	38 	53 53 53 53 53 53 53 53 53 
ENST00000237837 	ENST00000349792 ENST00000409426 ENST00000368890 	1229 	2989 2991 2840 	1240 	2989 2991 2840 	34 	53 53 53 
ENST00000262866 	ENST00000558530 	2638 	845 	2638 	845 	52 	51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	79 77 219 216 	3744 	79 77 219 216 	53 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	386 	82 25 	386 	82 25 	51 	51 51 
ENST00000526743 	ENST00000528784 	1451 	833 	1451 	833 	53 	53 
ENST00000526743 	ENST00000393658 	1871 	407 	1871 	409 	53 	41 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	360 	680 689 693 575 	360 	680 689 693 575 	53 	53 53 53 53 
ENST00000366582 	ENST00000323938 	8283 	1764 	8283 	1764 	53 	53 
ENST00000372165 ENST00000372163 	ENST00000552564 ENST00000293379 ENST00000547197 ENST00000549601 	1149 1097 	3832 3280 227 302 	1149 1097 	3832 3280 227 302 	51 51 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3750 	103 101 243 	3750 	103 101 243 	53 	52 52 52 
ENST00000514253 	ENST00000510019 	482 	199 	482 	199 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3407 	824 357 380 375 381 382 380 357 	3407 	824 357 380 375 381 382 380 357 	53 	51 51 51 51 51 51 51 51 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4509 4604 625 4507 	526 	4509 4604 625 4507 	526 	52 52 52 52 	53 
ENST00000550466 ENST00000553262 	ENST00000560729 	276 276 	22 	276 276 	24 	33 33 	34 
ENST00000376931 ENST00000523267 ENST00000518219 ENST00000523084 ENST00000292586 	ENST00000510187 ENST00000360718 ENST00000402874 	922 667 4073 1024 1166 	1662 2164 1914 	922 667 4073 1024 1166 	1662 2164 1914 	52 52 52 52 52 	52 52 52 
ENST00000314675 	ENST00000319041 	2067 	626 	2067 	626 	53 	52 
ENST00000514253 	ENST00000510019 	482 	199 	482 	199 	53 	52 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000567173 ENST00000563505 ENST00000566181 	1439 1606 1403 1427 1334 759 1529 1439 	525 576 249 	1439 1606 1403 1427 1334 759 1529 1439 	525 576 249 	53 53 53 53 53 53 53 53 	52 52 52 
ENST00000307221 	ENST00000417688 ENST00000357137 ENST00000428799 ENST00000541156 ENST00000414396 	408 	104 83 50 97 91 	408 	104 83 50 97 91 	52 	53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	85 83 225 	3744 	85 83 225 	53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	293 	1118 1135 	293 	53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	173 132 	484 	173 132 	53 	53 53 
ENST00000471784 ENST00000344774 	ENST00000333628 ENST00000259818 ENST00000473006 ENST00000556922 ENST00000554444 ENST00000315491 ENST00000555609 ENST00000304984 	1644 1049 	1244 1373 1298 2316 1519 1304 1477 3260 	1644 1049 	1244 1373 1298 2316 1519 1304 1477 3260 	51 51 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	812 345 368 363 369 370 568 368 400 368 345 	3482 	812 345 368 363 369 370 568 368 400 368 345 	52 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	444 	223 48 	444 	223 48 	53 	52 52 
ENST00000449131 	ENST00000498161 ENST00000599364 	4169 	45 45 	4169 	45 45 	53 	52 52 
ENST00000314675 	ENST00000319041 	2112 	572 	2112 	572 	52 	51 
ENST00000585057 ENST00000472125 ENST00000464873 	ENST00000253814 ENST00000503388 	911 715 1931 	1599 2160 	911 715 1931 	1599 2160 	53 53 53 	52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	283 	227 237 	283 	227 237 	53 	53 53 
ENST00000526743 	ENST00000534706 ENST00000530016 	1870 	539 357 	1870 	539 357 	53 	53 53 
ENST00000514253 	ENST00000511844 	494 	134 	495 	134 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	74 17 	381 	74 17 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	293 	1116 1133 	293 	53 53 	52 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	278 209 	72 82 127 86 	278 209 	74 84 129 88 	53 53 	51 51 51 51 
ENST00000393658 	ENST00000452085 ENST00000331677 ENST00000606712 ENST00000537543 ENST00000359564 	403 	2848 3098 2558 2788 2882 	409 	2848 3098 2558 2788 2882 	41 	53 53 53 53 53 
ENST00000463943 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	354 	2922 2923 2923 2923 3027 2923 2928 2922 2923 2923 2923 2923 2923 	354 	2922 2923 2923 2923 3027 2923 2928 2922 2923 2923 2923 2923 2923 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000373020 ENST00000358524 ENST00000412509 	ENST00000528937 	2024 1488 661 	898 	2038 1502 675 	898 	32 32 32 	32 
ENST00000375856 ENST00000430722 	ENST00000288840 ENST00000457357 	5595 28 	291 183 	5602 35 	291 183 	32 32 	52 52 
ENST00000478631 ENST00000371513 	ENST00000571329 ENST00000526717 	1335 1162 	654 654 	1335 1162 	654 654 	53 53 	53 53 
ENST00000455611 	ENST00000502586 ENST00000504292 	2277 	698 341 	2279 	702 345 	50 	48 48 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	349 	683 692 696 578 	359 	683 692 696 578 	42 	53 53 53 53 
ENST00000449131 	ENST00000517577 	3743 	240 	3743 	240 	52 	53 
ENST00000526743 	ENST00000530016 	1910 	378 	1910 	378 	52 	53 
ENST00000456152 ENST00000487592 ENST00000493137 ENST00000472130 ENST00000495919 ENST00000452386 ENST00000448314 ENST00000494168 ENST00000468185 ENST00000470187 ENST00000477608 ENST00000452708 ENST00000547367 ENST00000547880 ENST00000547683 ENST00000383322 ENST00000460689 ENST00000496483 ENST00000492024 ENST00000467455 ENST00000383321 ENST00000418967 ENST00000486063 ENST00000479074 ENST00000479730 ENST00000435122 ENST00000448478 ENST00000473538 ENST00000466302 ENST00000460626 ENST00000468340 ENST00000434026 ENST00000436607 ENST00000489576 ENST00000464272 ENST00000460263 ENST00000493848 ENST00000448877 	ENST00000507684 	1776 1792 1605 1766 1820 1569 1773 1789 1602 1763 1817 1566 1769 1679 1747 1776 1792 1605 1766 1820 1569 1809 1630 1792 1767 1569 1776 1792 1605 1766 1820 1569 1773 1789 1602 1763 1817 1566 	1775 	1779 1795 1608 1769 1823 1572 1776 1792 1605 1766 1820 1569 1772 1682 1750 1779 1795 1608 1769 1823 1572 1812 1633 1795 1770 1572 1779 1795 1608 1769 1823 1572 1776 1792 1605 1766 1820 1569 	1793 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 	35 
ENST00000449131 	ENST00000316292 ENST00000309268 ENST00000490569 ENST00000331523 	3420 	2048 1675 1178 1301 	3420 	2048 1675 1178 1301 	53 	53 53 53 53 
ENST00000350119 ENST00000564233 	ENST00000567705 	1886 3571 	787 	1886 3571 	787 	51 51 	43 
ENST00000380821 	ENST00000329627 	1974 	4387 	1979 	4402 	34 	36 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	98 96 238 	3747 	98 96 238 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3489 	826 359 382 377 383 384 382 359 	3489 	826 359 382 377 383 384 382 359 	49 	53 53 53 53 53 53 53 53 
ENST00000576531 ENST00000527356 	ENST00000572434 ENST00000574244 ENST00000527853 ENST00000469891 ENST00000327878 	1695 1695 	184 1355 1355 310 305 	1701 1701 	184 1355 1355 310 305 	47 47 	53 53 53 53 53 
ENST00000600057 	ENST00000420088 	325 	123 	325 	130 	53 	46 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3460 	797 330 348 214 212 553 353 385 353 330 	3460 	797 330 348 214 212 553 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 50 
ENST00000361681 	ENST00000361567 	392 	1678 	392 	1678 	53 	53 
ENST00000512733 	ENST00000553205 ENST00000202773 ENST00000424576 	8136 	101 634 765 	8136 	101 634 765 	53 	52 52 52 
ENST00000518858 	ENST00000379454 	2725 	4515 	2725 	4515 	52 	53 
ENST00000394023 	ENST00000547408 ENST00000546845 	4153 	553 360 	4153 	558 365 	52 	47 47 
ENST00000564755 	ENST00000501597 ENST00000546176 	180 	55 14 	180 	55 14 	53 	53 53 
ENST00000233336 	ENST00000514701 	9756 	6904 	9772 	6904 	37 	36 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	287 	3072 2973 2727 	287 	52 52 52 	53 
ENST00000222224 ENST00000605182 ENST00000575918 ENST00000609965 ENST00000608267 ENST00000608685 ENST00000608153 ENST00000608366 ENST00000575187 ENST00000571795 	ENST00000457463 ENST00000496327 ENST00000609747 ENST00000609528 ENST00000609069 ENST00000609050 ENST00000609872 ENST00000607918 ENST00000609759 ENST00000608536 ENST00000609681 ENST00000609344 ENST00000575721 ENST00000574887 ENST00000575489 ENST00000574335 	1304 1304 1304 1304 1304 1304 1304 1304 1304 1304 	663 711 663 711 663 711 663 711 663 711 663 711 663 711 663 711 	1304 1304 1304 1304 1304 1304 1304 1304 1304 1304 	663 711 663 711 663 711 663 711 663 711 663 711 663 711 663 711 	53 53 53 53 53 53 53 53 53 53 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
ENST00000514253 	ENST00000511844 	492 	63 	492 	63 	53 	51 
ENST00000484377 ENST00000468874 ENST00000573757 ENST00000573907 	ENST00000545369 ENST00000573887 	295 643 295 643 	879 879 	295 643 295 643 	879 879 	53 53 53 53 	53 53 
ENST00000375749 ENST00000444558 ENST00000414432 	ENST00000377060 ENST00000305510 	4857 3623 3633 	3277 3416 	4872 3638 3648 	3277 3416 	36 36 36 	31 31 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4129 	109 311 111 111 	4129 	109 311 111 111 	51 	52 52 52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3370 	826 359 382 377 243 241 383 384 382 414 382 359 	3370 	826 359 382 377 243 241 383 384 382 414 382 359 	52 	32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000321826 	ENST00000590158 ENST00000589454 	1595 	783 745 	1595 	783 745 	53 	53 53 
ENST00000361681 	ENST00000361567 	491 	1664 	491 	1664 	34 	52 
ENST00000439231 	ENST00000227507 	347 	2462 	348 	2462 	32 	53 
ENST00000560723 	ENST00000559556 	409 	906 	409 	906 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	468 	122 81 	468 	122 81 	52 	52 52 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	150 109 	484 	150 109 	53 	53 53 
ENST00000427908 	ENST00000510797 ENST00000503216 ENST00000510701 ENST00000436998 ENST00000425312 	1288 	612 553 325 388 388 	1288 	612 553 325 388 388 	53 	53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	364 	87 30 	364 	87 30 	53 	50 50 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000503605 	262 193 	144 154 199 335 	262 193 	144 154 199 335 	52 52 	52 52 52 52 
ENST00000591429 ENST00000521074 ENST00000424347 ENST00000452556 ENST00000229633 ENST00000374199 ENST00000374198 	ENST00000437809 ENST00000271883 ENST00000361040 ENST00000471341 ENST00000488251 ENST00000368331 	803 2219 4976 4462 2558 2254 1958 	435 475 384 409 341 361 	803 2219 4976 4462 2558 2254 1958 	435 475 384 409 341 361 	36 36 36 36 36 36 36 	40 40 40 40 40 40 
ENST00000321826 	ENST00000590158 	1628 	909 	1628 	909 	43 	53 
ENST00000215917 ENST00000477945 	ENST00000300527 ENST00000409416 ENST00000397763 ENST00000413758 ENST00000357838 ENST00000310645 	725 508 	1723 1682 1646 242 1701 1701 	725 508 	1723 1682 1646 242 1701 1701 	51 51 	53 53 53 53 53 53 
ENST00000321725 ENST00000462741 ENST00000469989 	ENST00000459839 ENST00000492555 	7845 2079 588 	1535 1900 	7845 2079 588 	1535 1900 	53 53 53 	53 53 
ENST00000350119 ENST00000564233 ENST00000564357 	ENST00000304516 ENST00000567705 	1836 3521 1154 	1273 804 	1836 3521 1154 	1273 804 	52 52 52 	53 53 
ENST00000532998 	ENST00000442900 	796 	503 	803 	518 	41 	38 
ENST00000592379 	ENST00000582736 	23 	124 	23 	124 	51 	53 
ENST00000320934 	ENST00000529622 	4572 	310 	4572 	310 	53 	52 
ENST00000592379 	ENST00000582736 	12 	119 	12 	119 	53 	53 
ENST00000366559 ENST00000366557 	ENST00000478849 	4161 3788 	744 	4161 3788 	744 	53 53 	48 
ENST00000262866 	ENST00000558530 	2646 	728 	2646 	728 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	98 96 238 	3747 	98 96 238 	53 	53 53 53 
ENST00000295269 ENST00000355520 ENST00000261200 	ENST00000557060 ENST00000551944 ENST00000312675 ENST00000543006 ENST00000550977 	3859 7039 6634 	2982 3526 13567 13510 2390 	3859 7039 6634 	2982 3526 13567 13510 2390 	53 53 53 	52 52 52 52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	593 602 606 488 	359 	593 602 606 488 	44 	53 53 53 53 
ENST00000592379 	ENST00000582736 	33 	111 	33 	111 	53 	52 
ENST00000223073 ENST00000354232 	ENST00000557060 ENST00000604604 ENST00000392857 ENST00000469718 ENST00000600751 	15228 1188 	2829 1346 5566 505 2668 	15229 1189 	2829 1346 5566 505 2668 	50 50 	38 38 38 38 38 
ENST00000563183 ENST00000468287 ENST00000542843 ENST00000260276 ENST00000570851 ENST00000269383 ENST00000487489 	ENST00000485344 	57 2120 2121 1354 1354 3295 57 	1220 	57 2120 2121 1354 1354 3295 57 	1220 	42 42 42 42 42 42 42 	34 
ENST00000485050 ENST00000281273 	ENST00000463390 	2961 3067 	2698 	2961 3067 	2698 	53 53 	51 
ENST00000281382 	ENST00000557531 ENST00000437982 ENST00000449922 ENST00000415552 ENST00000555758 	1130 	18 436 436 475 436 	1131 	18 436 436 475 436 	52 	53 53 53 53 53 
ENST00000572705 ENST00000399759 ENST00000571088 ENST00000399756 ENST00000174621 	ENST00000357037 	3319 3245 3258 3571 3328 	2257 	3320 3246 3259 3572 3329 	2268 	52 52 52 52 52 	42 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	86 84 226 	3764 	86 84 226 	47 	52 52 52 
ENST00000361681 	ENST00000361567 	392 	1673 	396 	1673 	49 	52 
ENST00000309733 ENST00000604015 	ENST00000493254 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000476192 ENST00000497426 ENST00000474698 	7656 454 	1051 732 650 1011 7346 7338 5722 	7656 454 	1051 732 650 1011 7346 7338 5722 	43 43 	53 53 53 53 53 53 53 
ENST00000267205 	ENST00000541467 	2922 	2720 	2922 	2720 	53 	51 
ENST00000506951 	ENST00000450670 ENST00000481617 ENST00000489060 	816 	240 2239 3869 	820 	240 2239 3869 	35 	41 41 41 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1154 1171 	188 139 	1154 1171 	193 144 	52 52 	48 48 
ENST00000463943 	ENST00000335179 ENST00000545072 	389 	75 18 	389 	75 18 	53 	53 53 
ENST00000374449 ENST00000343255 ENST00000492112 ENST00000485841 	ENST00000258774 	1591 1452 1447 3788 	2319 	1591 1452 1447 3788 	2319 	39 39 39 39 	53 
ENST00000514253 	ENST00000511844 	513 	42 	515 	42 	50 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3471 	825 358 381 376 382 383 381 358 	3471 	825 358 381 376 382 383 381 358 	50 	53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000367265 ENST00000367264 ENST00000235790 	286 	3121 2177 2075 	286 	3121 2177 2075 	53 	53 53 53 
ENST00000237837 	ENST00000372733 	1220 	1528 	1240 	1528 	32 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3471 	782 333 166 199 197 338 538 338 370 338 	3471 	782 333 166 199 197 338 538 338 370 338 	50 	53 53 53 53 53 53 53 53 53 53 
ENST00000400288 	ENST00000473770 ENST00000397500 	3935 	2271 2142 	3936 	2271 2142 	51 	50 50 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	107 105 247 	3759 	107 105 247 	52 	53 53 53 
ENST00000592379 	ENST00000475608 	56 	6 	56 	6 	53 	52 
ENST00000592379 	ENST00000437246 	56 	83 	56 	83 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	82 80 222 219 	3744 	82 80 222 219 	53 	53 53 53 53 
ENST00000314675 	ENST00000319041 	2089 	620 	2089 	620 	53 	53 
ENST00000539449 ENST00000590424 ENST00000411915 ENST00000502597 ENST00000521912 ENST00000520290 ENST00000519730 ENST00000475869 	ENST00000241436 ENST00000514141 ENST00000352007 	1625 3031 435 940 14 71 13 381 	3851 3595 3181 	1631 3037 441 946 20 77 19 387 	3854 3598 3184 	32 32 32 32 32 32 32 32 	32 32 32 
ENST00000439231 	ENST00000227507 	348 	2438 	348 	2438 	32 	53 
ENST00000514253 	ENST00000511844 	512 	137 	512 	137 	53 	52 
ENST00000549291 ENST00000513625 	ENST00000308580 	393 137 	2924 	393 137 	2943 	51 51 	33 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	77 20 	351 	77 20 	53 	52 52 
ENST00000361567 	ENST00000361681 	1729 	462 	1729 	462 	52 	53 
ENST00000593646 	ENST00000359242 ENST00000460698 ENST00000370566 ENST00000462648 ENST00000294678 ENST00000531412 ENST00000476054 ENST00000473792 ENST00000317336 ENST00000370567 ENST00000394731 	258 	1963 1222 1802 202 1940 322 655 621 2028 1941 1808 	258 	1963 1222 1802 202 1940 322 655 621 2028 1941 1808 	52 	31 31 31 31 31 31 31 31 31 31 31 
ENST00000592379 	ENST00000582736 	41 	111 	41 	111 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1118 1135 	227 178 	1118 1135 	227 178 	53 53 	53 53 
ENST00000565677 ENST00000219548 ENST00000569248 ENST00000564316 	ENST00000570037 ENST00000562111 ENST00000565258 	1411 1270 1733 580 	661 614 402 	1411 1270 1733 580 	661 614 402 	53 53 53 53 	52 52 52 
ENST00000564357 	ENST00000304516 ENST00000569957 ENST00000562441 	1116 	1369 4292 1247 	1116 	1369 4292 1247 	53 	52 52 52 
ENST00000298307 	ENST00000298310 	2273 	4970 	2273 	4970 	47 	46 
ENST00000515834 	ENST00000536668 ENST00000535024 ENST00000539853 ENST00000541977 ENST00000546265 ENST00000381852 ENST00000576262 ENST00000573913 ENST00000575512 ENST00000572448 ENST00000576937 ENST00000572837 	3813 	211 226 36 157 392 186 211 226 36 157 392 186 	3813 	211 226 36 157 392 186 211 226 36 157 392 186 	31 	48 48 48 48 48 48 48 48 48 48 48 48 
ENST00000368026 	ENST00000339020 	3505 	2837 	3505 	2837 	34 	52 
ENST00000481013 	ENST00000605847 ENST00000534348 ENST00000250495 ENST00000531430 ENST00000526430 ENST00000524927 ENST00000533242 	420 	18 34 136 7 13 36 37 	420 	18 34 136 7 13 36 37 	53 	49 49 49 49 49 49 49 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1948 2080 2527 	321 	1948 2080 2527 	321 	53 53 53 	53 
ENST00000519476 	ENST00000449773 ENST00000432226 ENST00000436847 ENST00000394353 ENST00000449733 ENST00000412819 ENST00000341272 ENST00000373808 	1365 	91 91 49 49 49 49 49 49 	1384 	91 91 49 49 49 49 49 49 	33 	53 53 53 53 53 53 53 53 
ENST00000482786 ENST00000420164 ENST00000306465 ENST00000412717 	ENST00000473428 	615 346 821 628 	703 	616 347 822 629 	703 	50 50 50 50 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	236 	307 238 	236 	48 48 	53 
ENST00000559573 	ENST00000558399 	1063 	375 	1063 	375 	53 	52 
ENST00000557452 	ENST00000292852 	2882 	1872 	2886 	1872 	49 	53 
ENST00000547992 	ENST00000547281 ENST00000550419 	2428 	694 802 	2428 	694 802 	53 	51 51 
ENST00000476842 	ENST00000462207 ENST00000446103 	420 	885 3177 	421 	885 3177 	51 	51 51 
ENST00000321826 	ENST00000590158 ENST00000589454 	1598 	806 768 	1598 	806 768 	52 	51 51 
ENST00000570780 ENST00000391950 	ENST00000520547 	1108 1125 	294 	1109 1126 	294 	52 52 	53 
ENST00000490638 ENST00000475323 ENST00000378387 ENST00000378395 ENST00000343259 	ENST00000378407 ENST00000327351 	3493 1859 2313 2087 1948 	318 305 	3493 1859 2313 2087 1948 	318 305 	53 53 53 53 53 	52 52 
ENST00000367474 ENST00000381215 ENST00000368761 ENST00000361714 ENST00000581324 	ENST00000484910 ENST00000367002 	5056 721 2891 1561 1748 	2277 3473 	5066 731 2901 1571 1758 	2277 3473 	35 35 35 35 35 	34 34 
ENST00000486975 	ENST00000538869 	1071 	491 	1077 	491 	33 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	340 	652 661 665 547 	359 	652 661 665 547 	34 	53 53 53 53 
ENST00000526743 	ENST00000563307 	1451 	2703 	1451 	2707 	53 	48 
ENST00000592379 	ENST00000475608 	54 	6 	54 	6 	53 	52 
ENST00000598975 	ENST00000394885 ENST00000320963 ENST00000394883 ENST00000557805 ENST00000558598 ENST00000560833 	62 	762 697 323 600 2449 358 	62 	762 697 323 600 2449 358 	52 	53 53 53 53 53 53 
ENST00000320934 	ENST00000529622 	4510 	328 	4510 	328 	53 	53 
ENST00000314675 	ENST00000319041 	2118 	630 	2118 	630 	53 	53 
ENST00000566782 ENST00000569579 ENST00000354883 ENST00000483224 	ENST00000199706 ENST00000483764 ENST00000481453 ENST00000461550 ENST00000469744 ENST00000389675 ENST00000441883 ENST00000447696 ENST00000450882 	2598 1765 2598 1765 	259 241 258 230 239 255 301 289 259 	2598 1765 2598 1765 	259 241 258 230 239 255 301 289 259 	52 52 52 52 	53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4129 	46 67 46 	4129 	46 67 46 	51 	53 53 53 
ENST00000514253 	ENST00000510019 	482 	189 	482 	189 	53 	51 
ENST00000519730 	ENST00000544915 	87 	2902 	87 	2902 	32 	53 
ENST00000449131 	ENST00000272317 ENST00000463185 ENST00000471772 ENST00000478196 	3744 	295 16 9 8 	3744 	295 16 9 8 	53 	53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	72 15 	366 	72 15 	53 	52 52 
ENST00000333703 	ENST00000532335 	4226 	1931 	4226 	1931 	53 	40 
ENST00000514253 	ENST00000511844 	498 	115 	498 	115 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1134 1151 	248 199 	1134 1151 	248 199 	52 52 	53 53 
ENST00000361681 	ENST00000528896 ENST00000389003 ENST00000544884 	445 	2128 2015 2015 	445 	2128 2015 2015 	53 	33 33 33 
ENST00000564370 	ENST00000562824 ENST00000563088 ENST00000564436 	804 	887 954 552 	804 	887 954 552 	53 	53 53 53 
ENST00000281382 	ENST00000465198 ENST00000432183 ENST00000482449 ENST00000494370 ENST00000437982 ENST00000449922 ENST00000415552 	1209 	253 551 511 57 299 299 338 	1209 	253 551 511 57 299 299 338 	53 	53 53 53 53 53 53 53 
ENST00000416501 	ENST00000361381 ENST00000498999 	526 	261 261 	527 	261 261 	49 	53 53 
ENST00000513458 	ENST00000357066 	4211 	2300 	4211 	2300 	53 	53 
ENST00000538183 	ENST00000377813 ENST00000360807 ENST00000398782 ENST00000377807 ENST00000246043 	9206 	398 383 383 448 94 	9206 	398 383 383 448 94 	53 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 	40 	111 	40 	111 	53 	52 
ENST00000475622 ENST00000283415 	ENST00000468090 ENST00000291565 ENST00000467908 	1137 1152 	2531 2600 2428 	1137 1152 	2531 2600 2428 	52 52 	51 51 51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3472 	826 359 382 377 383 384 382 359 	3472 	826 359 382 377 383 384 382 359 	49 	53 53 53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	494 	96 	494 	96 	53 	53 
ENST00000603027 	ENST00000603309 	4319 	811 	4319 	811 	53 	53 
ENST00000466493 ENST00000484083 ENST00000463210 	ENST00000461310 	1976 575 317 	503 	1976 575 317 	503 	53 53 53 	53 
ENST00000514253 	ENST00000511844 	494 	129 	495 	129 	52 	53 
ENST00000309733 	ENST00000409562 ENST00000493254 ENST00000604604 ENST00000556347 ENST00000229465 	6676 	2655 1974 1008 660 804 	6676 	2674 1993 1027 679 823 	53 	34 34 34 34 34 
