ENST00000574872 	ENST00000519266 ENST00000520221 	681 	194 34 	681 	194 34 	44 	53 53 
ENST00000487100 ENST00000382175 ENST00000484430 ENST00000398981 ENST00000398259 ENST00000474167 	ENST00000604922 	546 420 546 554 542 542 	216 	546 420 546 554 542 542 	216 	53 53 53 53 53 53 	50 
ENST00000220772 ENST00000379845 	ENST00000460469 	3733 3120 	401 	3733 3120 	401 	51 51 	33 
ENST00000511549 ENST00000444246 	ENST00000504931 	18 20 	9003 	18 20 	9003 	52 52 	51 
ENST00000598098 ENST00000599232 	ENST00000430252 ENST00000540275 	221 339 	441 441 	221 339 	441 441 	53 53 	52 52 
ENST00000425466 ENST00000484430 ENST00000398981 ENST00000493479 ENST00000389400 	ENST00000604922 	531 533 541 515 559 	244 	531 533 541 515 559 	244 	53 53 53 53 53 	53 
ENST00000307602 	ENST00000368694 ENST00000495554 ENST00000403433 	7666 	245 219 214 	7666 	245 219 214 	53 	50 50 50 
ENST00000389400 	ENST00000604922 	544 	238 	544 	238 	53 	49 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	157 	168 358 193 150 90 78 78 78 101 78 101 78 101 78 78 87 	157 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	51 
ENST00000517577 ENST00000492727 	ENST00000449131 	222 219 	4176 	222 219 	4176 	53 53 	52 
ENST00000336023 ENST00000332858 ENST00000547765 ENST00000550367 ENST00000541364 ENST00000552448 ENST00000301072 ENST00000548470 	ENST00000471694 ENST00000355354 	852 2427 1136 732 995 1106 1032 573 	5638 3863 	852 2427 1136 732 995 1106 1032 573 	5638 3863 	49 49 49 49 49 49 49 49 	34 34 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000472161 ENST00000484430 ENST00000398981 ENST00000398259 ENST00000474167 	ENST00000604922 	542 544 418 539 544 552 540 540 	216 	542 544 418 539 544 552 540 540 	216 	53 53 53 53 53 53 53 53 	51 
ENST00000406697 ENST00000328916 ENST00000360817 ENST00000402681 ENST00000443875 ENST00000600933 ENST00000594877 ENST00000595575 ENST00000598620 ENST00000599099 	ENST00000334660 	2401 2297 2049 1919 1877 2401 2297 2049 1919 1877 	1921 	2401 2297 2049 1919 1877 2401 2297 2049 1919 1877 	1937 	52 52 52 52 52 52 52 52 52 52 	31 
ENST00000434913 	ENST00000449131 	238 	4131 	238 	4131 	53 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	99 97 239 	4197 	99 97 239 	4197 	53 53 53 	52 
ENST00000434913 	ENST00000449131 	238 	4148 	238 	4148 	53 	53 
ENST00000498161 ENST00000466086 ENST00000413500 ENST00000394290 ENST00000599364 	ENST00000449131 	330 214 212 385 330 	3766 	330 214 212 385 330 	3766 	52 52 52 52 52 	52 
ENST00000377069 ENST00000542973 ENST00000606773 ENST00000607408 	ENST00000392464 ENST00000606568 	4256 2614 4256 2614 	1285 1285 	4256 2614 4256 2614 	1285 1285 	53 53 53 53 	53 53 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000472161 ENST00000484430 ENST00000398981 ENST00000474167 	ENST00000604922 	542 544 418 539 544 552 540 	276 	542 544 418 539 544 552 540 	276 	53 53 53 53 53 53 53 	53 
ENST00000360184 ENST00000556139 	ENST00000307849 ENST00000451500 	11840 228 	257 246 	11840 228 	269 258 	53 53 	31 31 
ENST00000457879 ENST00000438861 ENST00000468666 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000478186 ENST00000547522 	ENST00000424911 ENST00000420084 ENST00000419005 ENST00000430856 ENST00000427251 ENST00000446873 ENST00000415450 	738 706 214 402 640 638 638 419 636 636 395 395 636 395 206 419 	51 51 51 51 51 51 51 	738 706 214 402 640 638 638 419 636 636 395 395 636 395 206 419 	51 51 51 51 51 51 51 	51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 	42 42 42 42 42 42 42 
ENST00000297268 ENST00000481570 ENST00000464916 	ENST00000315579 ENST00000536538 	3896 4206 473 	299 277 	3896 4206 473 	299 277 	50 50 50 	53 53 
ENST00000389400 ENST00000411660 	ENST00000604922 	627 601 	224 	627 601 	224 	53 53 	53 
ENST00000336418 ENST00000398333 	ENST00000304987 	1671 1928 	7727 	1671 1928 	7727 	53 53 	34 
ENST00000434913 	ENST00000449131 	238 	4138 	238 	4138 	53 	53 
ENST00000441953 ENST00000431735 ENST00000383214 ENST00000383213 ENST00000423043 ENST00000418477 ENST00000416369 ENST00000441854 ENST00000443773 ENST00000456261 ENST00000374675 ENST00000374677 	ENST00000531100 ENST00000544186 	48 1 48 1 48 1 48 1 48 1 48 1 	-22 -22 	48 1 48 1 48 1 48 1 48 1 48 1 	0 0 	53 53 53 53 53 53 53 53 53 53 53 53 	31 31 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	330 348 214 212 553 353 385 353 330 	3798 	330 348 214 212 553 353 385 353 330 	3798 	52 52 52 52 52 52 52 52 52 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	402 	182 182 	402 	53 53 	53 
ENST00000554203 	ENST00000262710 ENST00000457657 	120 	47 47 	120 	47 47 	51 	53 53 
ENST00000540562 	ENST00000279392 	119 	131 	119 	131 	53 	53 
ENST00000425466 ENST00000389400 ENST00000411660 	ENST00000604922 	607 635 609 	242 	607 635 609 	242 	51 51 51 	53 
ENST00000507623 ENST00000380638 	ENST00000463943 	208 208 	407 	208 208 	407 	52 52 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000440049 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	149 339 174 131 71 59 59 82 59 82 59 82 59 59 59 68 	154 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	53 
ENST00000498161 ENST00000435241 ENST00000517577 ENST00000492727 ENST00000599364 	ENST00000449131 	361 384 385 386 361 	3756 	361 384 385 386 361 	3756 	53 53 53 53 53 	53 
ENST00000574872 	ENST00000520221 	693 	48 	693 	48 	52 	53 
ENST00000484430 ENST00000398981 	ENST00000604922 	518 526 	296 	518 526 	296 	53 53 	53 
ENST00000340296 ENST00000397119 ENST00000410079 ENST00000409197 ENST00000409317 ENST00000409773 ENST00000482454 ENST00000479806 ENST00000534253 ENST00000263811 ENST00000358002 ENST00000435916 	ENST00000361970 	1931 1948 1923 1914 1938 1920 1934 1144 1949 1931 1848 1702 	1964 	1936 1953 1928 1919 1943 1925 1939 1149 1954 1936 1853 1707 	1964 	44 44 44 44 44 44 44 44 44 44 44 44 	53 
ENST00000425466 ENST00000487100 ENST00000382175 ENST00000474167 ENST00000461022 ENST00000411660 	ENST00000604922 	602 604 478 596 626 604 	329 	624 626 500 618 648 626 	331 	31 31 31 31 31 31 	51 
ENST00000465995 	ENST00000563945 ENST00000461701 ENST00000272748 ENST00000379380 ENST00000397333 ENST00000462829 ENST00000547571 ENST00000297534 ENST00000378192 ENST00000543086 ENST00000440394 ENST00000397203 ENST00000589028 ENST00000577060 ENST00000370474 ENST00000437048 ENST00000311317 ENST00000488894 ENST00000292478 ENST00000481865 ENST00000447706 ENST00000460780 ENST00000503459 ENST00000488192 	1552 	294 1844 5633 4431 2489 815 603 941 1491 6664 6847 6883 6634 294 540 6338 2710 1718 4149 2455 2176 98 535 590 	1568 	316 1866 5655 4453 2511 837 625 963 1513 6686 6869 6905 6656 316 562 6360 2732 1740 4171 2477 2198 120 557 612 	36 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	210 202 	67 67 	210 202 	67 67 	53 53 	53 53 
ENST00000245185 ENST00000563985 ENST00000562017 ENST00000561491 ENST00000567300 	ENST00000323460 	608 531 725 406 238 	4320 	608 531 725 406 238 	4324 	53 53 53 53 53 	31 
ENST00000374399 ENST00000003912 ENST00000488155 ENST00000358028 ENST00000339255 ENST00000475663 	ENST00000468303 	81 72 63 62 61 17 	1102 	81 72 63 62 61 17 	1102 	52 52 52 52 52 52 	53 
ENST00000517577 	ENST00000449131 	216 	4171 	216 	4171 	53 	52 
ENST00000456012 ENST00000470780 ENST00000492759 ENST00000450342 ENST00000473059 ENST00000481018 ENST00000462184 ENST00000550728 ENST00000396634 ENST00000376806 ENST00000496081 ENST00000376802 ENST00000495183 ENST00000479320 ENST00000461903 ENST00000376809 	ENST00000424911 ENST00000420084 ENST00000419005 ENST00000430856 ENST00000427251 ENST00000446873 ENST00000415450 	697 665 173 361 599 597 597 409 697 665 173 361 599 597 597 378 	56 56 56 56 56 56 56 	709 677 185 373 611 609 609 421 709 677 185 373 611 609 609 390 	56 56 56 56 56 56 56 	39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 	37 37 37 37 37 37 37 
ENST00000372433 ENST00000372434 ENST00000470662 ENST00000487366 ENST00000372430 ENST00000372432 ENST00000486909 ENST00000372425 ENST00000583037 ENST00000372426 	ENST00000562955 ENST00000460536 ENST00000372442 	308 519 168 183 294 582 467 608 608 268 	11963 3951 9899 	308 519 168 183 294 582 467 608 608 268 	11963 3951 9899 	52 52 52 52 52 52 52 52 52 52 	53 53 53 
ENST00000507623 ENST00000380638 	ENST00000463943 	182 182 	417 	182 182 	417 	53 53 	51 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	247 239 	125 125 	247 239 	125 125 	53 53 	50 50 
ENST00000511549 ENST00000444246 	ENST00000504931 	9 11 	8975 	9 11 	8975 	53 53 	53 
ENST00000283290 ENST00000402314 ENST00000495756 ENST00000492886 	ENST00000492406 ENST00000468642 	55 8 16 138 	24 -3 	55 8 16 138 	41 14 	49 49 49 49 	36 36 
ENST00000434913 	ENST00000449131 	238 	4123 	238 	4123 	53 	53 
ENST00000349736 ENST00000217244 	ENST00000420788 	2515 2632 	93 	2515 2632 	108 	53 53 	31 
ENST00000406913 ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	299 269 269 261 269 	7 	299 269 269 261 269 	7 	52 52 52 52 52 	50 
ENST00000457472 	ENST00000296805 	43 	9 	43 	9 	52 	53 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000492816 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000456923 ENST00000494446 ENST00000473614 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000547992 	6680 7299 7026 6489 7496 8170 6951 6761 6761 6849 3004 154 231 7119 6594 6513 6620 	1639 	6680 7299 7026 6489 7496 8170 6951 6761 6761 6849 3004 154 231 7119 6594 6513 6620 	1639 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	158 348 183 140 80 68 68 68 91 68 68 91 68 68 77 	146 	158 348 183 140 80 68 68 68 91 68 68 91 68 68 77 	146 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000397561 	ENST00000461526 	385 	471 	385 	471 	53 	38 
ENST00000297679 ENST00000353250 	ENST00000602217 	219 232 	581 	219 232 	581 	52 52 	53 
ENST00000366844 ENST00000358675 	ENST00000255006 ENST00000484638 	2012 1144 	3395 2943 	2012 1144 	3410 2958 	53 53 	31 31 
ENST00000574872 	ENST00000519266 ENST00000520221 	681 	171 11 	681 	171 11 	53 	53 53 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	484 	852 656 1872 	484 	852 656 1872 	47 	53 53 53 
ENST00000514888 ENST00000399688 ENST00000264221 	ENST00000504931 	2903 2860 2895 	3286 	2903 2860 2895 	3296 	53 53 53 	42 
ENST00000517577 	ENST00000449131 	216 	4180 	216 	4180 	53 	53 
ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	ENST00000448271 	2670 2671 2671 2671 2775 2671 2676 2670 2671 2671 2671 2671 2671 	224 	2670 2671 2671 2671 2775 2671 2676 2670 2671 2671 2671 2671 2671 	224 	43 43 43 43 43 43 43 43 43 43 43 43 43 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	194 194 	409 	194 194 	409 	53 53 	53 
ENST00000448312 ENST00000397561 	ENST00000461526 	378 379 	471 	378 379 	471 	52 52 	38 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	408 	197 197 	408 	53 53 	53 
ENST00000598098 ENST00000599232 	ENST00000430252 ENST00000540275 	237 355 	439 439 	237 355 	439 439 	53 53 	52 52 
ENST00000602522 ENST00000474871 ENST00000493732 ENST00000490993 ENST00000326682 ENST00000553161 ENST00000452837 ENST00000345094 ENST00000489441 ENST00000497897 ENST00000437775 ENST00000357419 ENST00000222800 ENST00000458339 ENST00000573012 ENST00000575418 ENST00000571672 ENST00000577109 ENST00000573265 	ENST00000450993 ENST00000483685 ENST00000473443 ENST00000417849 ENST00000432688 ENST00000459791 ENST00000484718 	33 3593 1706 5119 4388 855 2091 2086 1202 1175 1060 1076 1096 699 1175 1060 1076 1096 699 	2281 2034 2320 2127 2280 3318 527 	53 3613 1726 5139 4408 875 2111 2106 1222 1195 1080 1096 1116 719 1195 1080 1096 1116 719 	2281 2034 2320 2127 2280 3318 527 	33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 	53 53 53 53 53 53 53 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	382 	962 766 1982 	382 	962 766 1982 	52 	44 44 44 
ENST00000585042 ENST00000584796 ENST00000583879 	ENST00000352732 ENST00000355100 	431 116 98 	8058 8011 	431 116 98 	8058 8011 	52 52 52 	53 53 
ENST00000507623 ENST00000380638 	ENST00000463943 	181 181 	420 	181 181 	420 	52 52 	52 
ENST00000396076 ENST00000350669 ENST00000396075 	ENST00000602042 	889 654 602 	1467 	889 654 602 	1467 	52 52 52 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	98 96 238 	4200 	98 96 238 	4200 	49 49 49 	52 
ENST00000397561 	ENST00000461526 	415 	465 	415 	465 	53 	53 
ENST00000483956 	ENST00000585057 ENST00000472125 ENST00000464873 	444 	863 667 1883 	444 	863 667 1883 	51 	53 53 53 
ENST00000484430 ENST00000398981 ENST00000398259 	ENST00000604922 	688 696 684 	209 	688 696 684 	209 	52 52 52 	53 
ENST00000493763 ENST00000304734 	ENST00000600648 ENST00000395375 ENST00000553458 	2186 1450 	328 2692 2671 	2186 1450 	328 2692 2671 	53 53 	45 45 45 
ENST00000475367 	ENST00000574596 	2012 	1589 	2015 	1610 	50 	31 
ENST00000557060 ENST00000479145 ENST00000295025 	ENST00000564458 ENST00000564795 	3093 128 9236 	936 936 	3093 128 9236 	936 936 	45 45 45 	52 52 
ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	ENST00000449131 	336 169 202 200 341 541 341 373 341 	3797 	336 169 202 200 341 541 341 373 341 	3797 	53 53 53 53 53 53 53 53 53 	52 
ENST00000574872 	ENST00000519266 ENST00000520221 	679 	177 17 	679 	177 17 	53 	52 52 
ENST00000555532 	ENST00000498565 	140 	255 	140 	255 	53 	43 
ENST00000282903 ENST00000360060 ENST00000494950 ENST00000469350 	ENST00000449131 	743 743 660 516 	3551 	743 743 660 516 	3551 	53 53 53 53 	53 
ENST00000574872 ENST00000442087 	ENST00000519266 ENST00000520221 	705 188 	201 41 	705 188 	201 41 	53 53 	53 53 
ENST00000498161 ENST00000466086 ENST00000413500 ENST00000599364 	ENST00000449131 	331 215 213 331 	3756 	331 215 213 331 	3756 	53 53 53 53 	53 
ENST00000379010 	ENST00000606080 	3042 	6150 	3042 	6150 	35 	33 
ENST00000547348 	ENST00000503768 ENST00000503874 	545 	1205 1033 	547 	1207 1035 	51 	51 51 
ENST00000507623 ENST00000380638 	ENST00000463943 	205 205 	408 	205 205 	408 	52 52 	53 
ENST00000227507 	ENST00000225512 	1605 	1978 	1605 	1994 	51 	32 
ENST00000546654 	ENST00000564755 	85 	190 	85 	190 	52 	52 
ENST00000397821 ENST00000379716 ENST00000379698 	ENST00000558590 	2794 1914 2459 	2396 	2794 1914 2459 	2396 	52 52 52 	53 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	100 98 240 	4192 	100 98 240 	4192 	52 52 52 	51 
ENST00000368911 ENST00000323817 	ENST00000526399 	4603 4424 	226 	4603 4424 	240 	53 53 	39 
ENST00000229239 ENST00000396856 ENST00000396861 ENST00000474249 ENST00000466588 ENST00000396859 ENST00000466525 ENST00000396858 	ENST00000445946 	1408 830 893 923 950 821 1287 881 	3374 	1408 830 893 923 950 821 1287 881 	3389 	53 53 53 53 53 53 53 53 	32 
ENST00000584296 	ENST00000380765 	55 	1131 	75 	1133 	32 	51 
ENST00000272274 ENST00000319826 ENST00000326092 ENST00000493317 ENST00000466550 ENST00000465295 ENST00000396599 ENST00000401418 ENST00000327274 ENST00000495531 ENST00000536557 ENST00000484462 ENST00000403916 ENST00000480465 ENST00000395291 	ENST00000515262 	161 351 186 143 83 71 71 71 94 71 94 71 94 71 80 	162 	161 351 186 143 83 71 71 71 94 71 94 71 94 71 80 	162 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 	51 
ENST00000251303 ENST00000563995 	ENST00000568556 	109 77 	30 	109 77 	30 	52 52 	53 
ENST00000080059 ENST00000354334 ENST00000459625 ENST00000548938 ENST00000470668 	ENST00000255622 ENST00000496514 ENST00000461490 	3858 3828 6181 2486 4033 	2710 2691 447 	3858 3828 6181 2486 4033 	2728 2709 465 	53 53 53 53 53 	31 31 31 
ENST00000529460 ENST00000527186 ENST00000601722 ENST00000600126 	ENST00000534438 ENST00000601832 	272 986 272 986 	222 222 	272 986 272 986 	222 222 	52 52 52 52 	52 52 
ENST00000361464 ENST00000357797 ENST00000370094 ENST00000439817 ENST00000419011 	ENST00000225964 	393 393 393 440 205 	4547 	393 393 393 440 205 	4562 	53 53 53 53 53 	36 
ENST00000480190 ENST00000467797 ENST00000474668 ENST00000487316 	ENST00000380834 ENST00000473706 	562 179 382 781 	-14 -14 	562 179 382 781 	2 2 	52 52 52 52 	37 37 
ENST00000406913 ENST00000498752 ENST00000439573 ENST00000399415 ENST00000579116 	ENST00000592379 	299 269 269 261 269 	26 	299 269 269 261 269 	26 	52 52 52 52 52 	53 
ENST00000465295 ENST00000484462 ENST00000403916 ENST00000485945 ENST00000480465 ENST00000395291 	ENST00000515262 	82 82 105 82 82 91 	116 	82 82 105 82 82 91 	116 	53 53 53 53 53 53 	53 
ENST00000373570 ENST00000493018 ENST00000487431 ENST00000348462 ENST00000433398 ENST00000598872 	ENST00000509081 	361 563 656 327 276 275 	2398 	361 563 656 327 276 275 	2398 	52 52 52 52 52 52 	33 
ENST00000574872 ENST00000442087 	ENST00000519266 ENST00000520221 	704 187 	203 43 	704 187 	203 43 	53 53 	53 53 
ENST00000225964 ENST00000495677 	ENST00000382952 ENST00000290921 ENST00000503594 	650 258 	2002 1832 880 	650 258 	2023 1853 901 	53 53 	31 31 31 
ENST00000223095 ENST00000445463 	ENST00000471694 ENST00000355354 	1194 1140 	5633 3858 	1194 1140 	5638 3863 	53 53 	40 40 
ENST00000498161 ENST00000425761 ENST00000492727 ENST00000450676 ENST00000599364 	ENST00000449131 	361 379 386 384 361 	4122 	363 381 388 386 363 	4122 	51 51 51 51 51 	51 
ENST00000434913 ENST00000517577 	ENST00000449131 	239 240 	4167 	239 240 	4167 	53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	199 199 	407 	199 199 	407 	53 53 	52 
ENST00000507623 ENST00000380638 	ENST00000463943 	187 187 	402 	187 187 	402 	53 53 	53 
ENST00000427177 ENST00000591198 ENST00000431235 ENST00000590294 ENST00000588690 ENST00000423034 ENST00000427674 ENST00000585930 ENST00000541152 ENST00000592481 ENST00000591088 ENST00000592951 ENST00000427180 ENST00000589250 ENST00000586456 ENST00000329047 ENST00000449803 ENST00000574891 ENST00000588583 ENST00000576289 ENST00000571241 ENST00000587968 ENST00000576977 ENST00000586105 ENST00000573468 ENST00000574362 ENST00000591262 ENST00000575088 ENST00000590634 ENST00000591339 ENST00000585924 ENST00000574853 ENST00000593252 ENST00000586414 	ENST00000449131 	1514 1416 1693 2146 1373 1675 1628 731 717 952 952 1038 1328 188 60 2146 1689 1514 1416 1693 1689 2146 2146 1373 1675 1628 731 717 952 952 1038 1328 188 60 	3743 	1514 1416 1693 2146 1373 1675 1628 731 717 952 952 1038 1328 188 60 2146 1689 1514 1416 1693 1689 2146 2146 1373 1675 1628 731 717 952 952 1038 1328 188 60 	3743 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 
ENST00000484430 ENST00000398981 ENST00000398259 	ENST00000604922 	518 526 514 	199 	518 526 514 	199 	53 53 53 	52 
ENST00000609229 	ENST00000369681 	2766 	8272 	2766 	8279 	33 	37 
ENST00000514057 	ENST00000373059 ENST00000401070 ENST00000401069 	579 	1943 2075 2522 	579 	1943 2075 2522 	53 	53 53 53 
ENST00000497242 ENST00000599890 	ENST00000451365 ENST00000607211 	57 57 	562 562 	57 57 	562 562 	52 52 	53 53 
ENST00000574872 	ENST00000519266 ENST00000520221 	655 	198 38 	655 	198 38 	52 	53 53 
ENST00000498161 ENST00000425761 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	340 358 563 363 395 363 340 	4128 	340 358 563 363 395 363 340 	4128 	48 48 48 48 48 48 48 	52 
ENST00000380155 	ENST00000431544 	2106 	147 	2106 	163 	52 	31 
ENST00000409562 	ENST00000538183 ENST00000309733 ENST00000478538 ENST00000476192 ENST00000558583 ENST00000518152 ENST00000497426 ENST00000474698 	2914 	7194 6622 79 4683 5778 419 4683 4682 	2914 	7194 6622 79 4683 5778 419 4683 4682 	53 	40 40 40 40 40 40 40 40 
ENST00000507623 ENST00000380638 	ENST00000463943 	197 197 	407 	197 197 	407 	53 53 	53 
ENST00000534393 ENST00000525812 	ENST00000533050 	77 244 	49 	77 244 	49 	53 53 	53 
ENST00000361789 	ENST00000292530 	149 	4022 	149 	4038 	53 	31 
ENST00000416139 ENST00000475608 ENST00000437246 	ENST00000592379 	214 211 214 	75 	214 211 214 	75 	53 53 53 	53 
ENST00000329908 ENST00000378798 ENST00000456820 ENST00000536027 ENST00000541180 	ENST00000480587 	965 866 676 393 416 	622 	965 866 676 393 416 	622 	53 53 53 53 53 	53 
ENST00000491614 ENST00000378937 ENST00000378952 ENST00000537776 	ENST00000475268 ENST00000495368 	1007 744 838 1027 	1379 1507 	1007 744 838 1027 	1379 1507 	51 51 51 51 	52 52 
ENST00000475608 ENST00000498752 ENST00000491601 	ENST00000592379 	241 244 224 	81 	241 244 224 	81 	53 53 53 	52 
ENST00000606004 	ENST00000577843 ENST00000578332 ENST00000583315 	993 	833 833 833 	1008 	833 833 833 	38 	52 52 52 
ENST00000563995 	ENST00000568556 	44 	18 	44 	31 	52 	31 
ENST00000296824 	ENST00000393633 ENST00000577117 	9058 	1849 1849 	9074 	1852 1852 	36 	50 50 
ENST00000360971 	ENST00000528973 	6308 	4466 	6325 	4482 	31 	31 
ENST00000391877 	ENST00000498926 	1106 	2523 	1106 	2523 	53 	53 
ENST00000320954 ENST00000449224 	ENST00000527246 ENST00000486951 ENST00000482150 ENST00000470357 ENST00000223076 	1857 1653 	2329 517 415 16 552 	1857 1653 	2348 536 434 35 571 	53 53 	32 32 32 32 32 
ENST00000547430 	ENST00000507354 	354 	214 	354 	214 	53 	52 
ENST00000591724 	ENST00000334586 ENST00000425015 ENST00000421794 	216 	638 1332 649 	216 	638 1332 649 	51 	53 53 53 
ENST00000574872 ENST00000442087 	ENST00000519266 ENST00000520221 	708 191 	192 32 	708 191 	192 32 	50 50 	53 53 
ENST00000507623 ENST00000380638 	ENST00000463943 	194 194 	426 	194 194 	426 	53 53 	50 
ENST00000336083 ENST00000545625 ENST00000537446 ENST00000400470 	ENST00000412425 	773 214 234 292 	26 	773 214 234 292 	26 	53 53 53 53 	51 
ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	ENST00000449131 	331 349 215 213 554 354 386 354 331 	3792 	331 349 215 213 554 354 386 354 331 	3792 	53 53 53 53 53 53 53 53 53 	52 
ENST00000357037 	ENST00000380739 ENST00000397622 	2511 	2315 2373 	2511 	2332 2390 	52 	36 36 
ENST00000466086 ENST00000413500 ENST00000517577 	ENST00000449131 	100 98 240 	4209 	100 98 240 	4209 	52 52 52 	53 
ENST00000510019 	ENST00000514253 	321 	189 	321 	189 	53 	53 
ENST00000434913 	ENST00000449131 	239 	4122 	239 	4122 	53 	52 
ENST00000485000 ENST00000324896 ENST00000353920 ENST00000346152 ENST00000416070 ENST00000443166 ENST00000432143 ENST00000573035 	ENST00000471694 ENST00000355354 	405 492 419 419 419 146 356 473 	5635 3860 	405 492 419 419 419 146 356 473 	5635 3860 	53 53 53 53 53 53 53 53 	33 33 
ENST00000468666 ENST00000478186 	ENST00000445820 ENST00000428199 	279 271 	56 56 	279 271 	56 56 	52 52 	52 52 
ENST00000389400 	ENST00000604922 	544 	233 	544 	233 	53 	52 
ENST00000484462 ENST00000403916 ENST00000469899 ENST00000480465 ENST00000395291 	ENST00000515262 	57 80 57 57 66 	115 	57 80 57 57 66 	115 	52 52 52 52 52 	51 
ENST00000483765 ENST00000485756 ENST00000494303 ENST00000401418 ENST00000327274 ENST00000491435 ENST00000602033 ENST00000472300 ENST00000540439 ENST00000497298 ENST00000485147 ENST00000491732 	ENST00000515262 	133 352 182 183 206 183 183 183 222 183 183 183 	34 	133 352 182 183 206 183 183 183 222 183 183 183 	50 	52 52 52 52 52 52 52 52 52 52 52 52 	35 
