ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000315579 ENST00000536538 	ENST00000378300 ENST00000378292 ENST00000329305 ENST00000360958 ENST00000471212 	139 117 	165 1282 175 184 162 	152 130 	165 1282 175 184 162 	35 35 	51 51 51 51 51 
ENST00000514253 	ENST00000510019 ENST00000429775 	456 	215 40 	456 	215 40 	52 	53 53 
ENST00000393658 	ENST00000550697 ENST00000548580 ENST00000550184 ENST00000293422 ENST00000348108 ENST00000549017 ENST00000549566 ENST00000547649 ENST00000548400 	403 	714 340 1401 477 522 315 607 468 385 	409 	714 340 1401 477 522 315 607 468 385 	41 	53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	824 357 380 375 381 382 380 357 	3482 	824 357 380 375 381 382 380 357 	52 	51 51 51 51 51 51 51 51 
ENST00000358230 	ENST00000539061 	2769 	2543 	2769 	2543 	53 	53 
ENST00000449131 	ENST00000370339 ENST00000370333 	4149 	1665 1347 	4149 	1677 1359 	52 	41 41 
ENST00000592379 	ENST00000582736 	39 	86 	40 	86 	52 	52 
ENST00000514253 	ENST00000336053 ENST00000554969 ENST00000556142 ENST00000554455 ENST00000430246 ENST00000553753 ENST00000555914 ENST00000555309 ENST00000557442 ENST00000556628 ENST00000556513 ENST00000553444 ENST00000557201 ENST00000553300 ENST00000556897 ENST00000420743 ENST00000557157 ENST00000554539 ENST00000554383 ENST00000555585 ENST00000554417 ENST00000320084 ENST00000449098 	483 	766 886 734 762 3485 701 702 758 640 507 925 89 736 740 646 1093 350 432 786 470 510 812 751 	483 	766 886 734 762 3485 701 702 758 640 507 925 89 736 740 646 1093 350 432 786 470 510 812 751 	53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000475180 ENST00000357606 ENST00000317269 ENST00000468864 	ENST00000480958 	273 2698 2612 1279 	1187 	273 2698 2612 1279 	1187 	34 34 34 34 	53 
ENST00000354221 ENST00000591371 	ENST00000583304 ENST00000572101 ENST00000217162 ENST00000471834 ENST00000590333 ENST00000577142 ENST00000571082 ENST00000570910 ENST00000576914 ENST00000357749 ENST00000495995 ENST00000580285 ENST00000581885 ENST00000590000 	3132 409 	2187 71 2190 6542 8 1164 380 712 270 3251 1777 1714 2187 373 	3132 409 	2187 71 2190 6542 8 1164 380 712 270 3251 1777 1714 2187 373 	40 40 	32 32 32 32 32 32 32 32 32 32 32 32 32 32 
ENST00000519409 	ENST00000523644 	327 	80 	327 	80 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	400 	79 22 	400 	79 22 	52 	51 51 
ENST00000512701 ENST00000311417 ENST00000265713 ENST00000406337 ENST00000396930 ENST00000378182 ENST00000302548 	ENST00000373202 	7048 2890 7875 7963 8007 3115 2968 	2259 	7051 2893 7878 7966 8010 3118 2971 	2259 	33 33 33 33 33 33 33 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3477 	808 341 364 359 225 223 365 564 364 396 364 341 	3477 	808 341 364 359 225 223 365 564 364 396 364 341 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	122 	41 	122 	53 	53 
ENST00000366559 ENST00000366557 	ENST00000462265 ENST00000478849 	4210 3837 	549 710 	4210 3837 	549 710 	53 53 	52 52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4142 	109 311 111 111 	4142 	109 311 111 111 	53 	52 52 52 52 
ENST00000538789 	ENST00000472643 ENST00000526894 ENST00000531361 	1278 	719 612 550 	1278 	719 612 550 	53 	53 53 53 
ENST00000427908 	ENST00000353383 ENST00000395774 ENST00000261641 	1186 	2828 2459 2359 	1186 	2828 2459 2359 	53 	53 53 53 
ENST00000285116 ENST00000571751 ENST00000360388 	ENST00000438882 	1619 1619 2773 	1389 	1619 1619 2773 	1389 	52 52 52 	53 
ENST00000427908 	ENST00000511309 ENST00000510797 ENST00000503216 ENST00000502670 	1280 	384 425 366 470 	1280 	384 425 366 470 	53 	53 53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	299 230 	156 115 	299 230 	156 115 	52 52 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3437 	826 359 382 377 383 384 382 359 	3437 	826 359 382 377 383 384 382 359 	53 	53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1104 1121 	277 	1104 1121 	277 	53 53 	53 
ENST00000592582 ENST00000470068 	ENST00000461997 ENST00000464682 ENST00000489288 	1417 4916 	1043 824 1069 	1435 4934 	1059 840 1085 	35 35 	34 34 34 
ENST00000496928 ENST00000508310 ENST00000510393 ENST00000430076 ENST00000375771 ENST00000510929 ENST00000502638 	ENST00000393328 ENST00000393331 ENST00000347630 	173 163 135 136 121 145 144 	2354 2459 2336 	175 165 137 138 123 147 146 	2362 2467 2344 	50 50 50 50 50 50 50 	44 44 44 
ENST00000371486 	ENST00000483739 	3006 	1819 	3007 	1819 	52 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4149 	84 86 	4149 	84 86 	52 	53 53 
ENST00000526743 	ENST00000527394 	1073 	1509 	1073 	1509 	53 	53 
ENST00000587935 	ENST00000579815 	121 	473 	121 	473 	50 	52 
ENST00000419932 	ENST00000301764 ENST00000451943 ENST00000545894 ENST00000450997 	258 	4109 932 2115 1729 	258 	4109 932 2115 1729 	34 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	107 105 247 	3759 	107 105 247 	52 	53 53 53 
ENST00000350119 ENST00000564233 	ENST00000567705 	1992 3677 	751 	1992 3677 	751 	52 52 	52 
ENST00000449131 	ENST00000329251 ENST00000525340 ENST00000378019 ENST00000526409 ENST00000496634 	3254 	1109 2084 1219 1542 4652 	3254 	1109 2084 1219 1542 4652 	52 	53 53 53 53 53 
ENST00000592379 	ENST00000582736 ENST00000475608 	40 	49 34 	40 	49 34 	53 	53 53 
ENST00000451608 	ENST00000409601 	4861 	596 	4861 	596 	53 	53 
ENST00000492999 ENST00000486695 ENST00000467671 	ENST00000424633 ENST00000454660 ENST00000432393 ENST00000599500 	73 73 73 	246 246 246 246 	73 73 73 	246 246 246 246 	53 53 53 	52 52 52 52 
ENST00000527661 ENST00000324357 	ENST00000528865 	1929 1033 	72 	1929 1033 	72 	53 53 	51 
ENST00000361681 	ENST00000361567 	392 	1710 	392 	1710 	53 	53 
ENST00000484427 ENST00000471144 ENST00000372136 ENST00000356311 	ENST00000465806 ENST00000356463 ENST00000343110 ENST00000467228 ENST00000599719 ENST00000601309 ENST00000377957 ENST00000508504 ENST00000257189 ENST00000371655 ENST00000295065 ENST00000530934 ENST00000549235 ENST00000556292 ENST00000238831 ENST00000366221 ENST00000567425 ENST00000564372 ENST00000565289 ENST00000563014 ENST00000496462 ENST00000550746 ENST00000395337 ENST00000307792 ENST00000491289 ENST00000587928 ENST00000589173 ENST00000410026 ENST00000269391 ENST00000319945 ENST00000377837 ENST00000547440 ENST00000470730 ENST00000338352 ENST00000305188 ENST00000559075 ENST00000227155 ENST00000524750 ENST00000560440 ENST00000325722 ENST00000373266 ENST00000369936 ENST00000301335 ENST00000438197 ENST00000421852 ENST00000296254 ENST00000416379 ENST00000339375 ENST00000450876 ENST00000345589 ENST00000574773 ENST00000399387 ENST00000491193 ENST00000599759 ENST00000598033 ENST00000317872 ENST00000489074 ENST00000510256 ENST00000605787 ENST00000413484 	3497 1994 1360 1067 	140 91 2628 2336 96 87 3489 130 3500 1517 3445 118 208 251 4116 739 2212 2346 3235 1961 1373 3669 4283 6188 4097 1459 348 9549 2801 2670 919 1599 1971 1252 3606 1490 1406 528 2469 3892 2095 2781 6617 1447 1132 761 2212 2346 3235 1961 2490 637 1124 140 91 2271 485 485 384 424 	3497 1994 1360 1067 	140 91 2628 2336 96 87 3489 130 3500 1517 3445 118 208 251 4116 739 2212 2346 3235 1961 1373 3669 4283 6188 4097 1459 348 9549 2801 2670 919 1599 1971 1252 3606 1490 1406 528 2469 3892 2095 2781 6617 1447 1132 761 2212 2346 3235 1961 2490 637 1124 140 91 2271 485 485 384 424 	53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3025 2926 2680 	298 	3025 2926 2680 	298 	53 53 53 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3492 	824 357 380 375 381 382 380 357 	3492 	824 357 380 375 381 382 380 357 	53 	51 51 51 51 51 51 51 51 
ENST00000242323 	ENST00000589797 ENST00000309428 	4711 	2481 2093 	4715 	2481 2093 	36 	53 53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3753 	213 95 93 235 213 	3753 	213 95 93 235 213 	44 	51 51 51 51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	85 44 	484 	85 44 	53 	53 53 
ENST00000455611 	ENST00000502586 	2286 	724 	2286 	741 	53 	36 
ENST00000514253 	ENST00000511844 	498 	68 	498 	68 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000517577 ENST00000599364 	3741 	211 233 211 	3741 	211 233 211 	52 	51 51 51 
ENST00000400288 	ENST00000473770 	3937 	2324 	3937 	2324 	52 	51 
ENST00000309033 	ENST00000256474 ENST00000345392 	3478 	2177 1274 	3479 	2177 1274 	35 	52 52 
ENST00000360415 ENST00000395326 ENST00000415001 	ENST00000338758 ENST00000556901 	2339 2216 1759 	2654 627 	2359 2236 1779 	2654 627 	33 33 33 	35 35 
ENST00000314675 	ENST00000319041 	2089 	624 	2089 	624 	53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1119 1136 	255 	1119 1136 	255 	53 53 	52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1154 1171 	255 	1154 1171 	255 	52 52 	52 
ENST00000508716 	ENST00000307259 	2060 	1453 	2060 	1453 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3747 	87 85 227 	3747 	87 85 227 	53 	53 53 53 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4524 4619 640 4522 	526 	4528 4623 644 4526 	526 	48 48 48 48 	53 
ENST00000469702 	ENST00000331615 	347 	1654 	358 	1666 	40 	33 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1945 1540 1948 	36 	1945 1540 1948 	36 	52 52 52 	48 
ENST00000310455 ENST00000519699 ENST00000465806 ENST00000356463 ENST00000320785 ENST00000599759 ENST00000598033 ENST00000508335 	ENST00000284878 ENST00000528017 ENST00000398738 ENST00000543600 ENST00000378268 ENST00000467201 ENST00000194130 ENST00000524419 ENST00000375943 ENST00000483979 ENST00000571626 	1994 2088 180 131 5091 180 131 1089 	4348 1074 1735 1726 324 1325 3310 465 2309 838 838 	1994 2088 180 131 5091 180 131 1089 	4348 1074 1735 1726 324 1325 3310 465 2309 838 838 	53 53 53 53 53 53 53 53 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000361681 	ENST00000361567 	345 	1704 	345 	1704 	53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 	306 237 	215 	306 237 	215 	53 53 	53 
ENST00000514253 	ENST00000510019 	484 	215 	484 	215 	53 	46 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000514253 	ENST00000510019 	484 	191 	484 	191 	53 	53 
ENST00000309733 ENST00000310613 	ENST00000309955 	8208 4453 	6259 	8208 4453 	6275 	35 35 	31 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	2298 2199 1953 	197 	2298 2199 1953 	197 	53 53 53 	53 
ENST00000361681 	ENST00000361567 	486 	1641 	486 	1641 	39 	53 
ENST00000592379 	ENST00000475608 	54 	14 	54 	14 	53 	52 
ENST00000309955 	ENST00000481916 ENST00000580938 ENST00000295240 ENST00000392663 ENST00000472667 ENST00000403396 	4001 	1860 1860 3065 2697 2460 3036 	4001 	1872 1872 3077 2709 2472 3048 	53 	41 41 41 41 41 41 
ENST00000320934 	ENST00000525531 ENST00000529622 	4435 	816 405 	4435 	816 405 	53 	53 53 
ENST00000489613 ENST00000353265 ENST00000357164 	ENST00000559127 	725 2312 1686 	1245 	728 2315 1689 	1246 	49 49 49 	42 
ENST00000374449 ENST00000343255 ENST00000492112 ENST00000485841 	ENST00000330374 	1586 1447 1442 3783 	3308 	1586 1447 1442 3783 	3308 	34 34 34 34 	53 
ENST00000584729 ENST00000583295 ENST00000440501 ENST00000321666 ENST00000576273 ENST00000592419 	ENST00000379061 ENST00000578128 ENST00000577870 ENST00000580711 ENST00000591907 ENST00000591663 ENST00000585482 ENST00000585569 ENST00000591407 	4689 4596 4688 4601 4691 4598 	1565 472 354 411 1565 1773 472 354 411 	4689 4596 4688 4601 4691 4598 	1565 472 354 411 1565 1773 472 354 411 	51 51 51 51 51 51 	49 49 49 49 49 49 49 49 49 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	315 	1946 2078 2525 	315 	53 53 53 	52 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	304 235 	122 81 	304 235 	122 81 	50 50 	52 52 
ENST00000378312 ENST00000278422 ENST00000529403 	ENST00000244043 ENST00000478379 	1200 1310 1380 	4567 2346 	1201 1311 1381 	4567 2346 	52 52 52 	44 44 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	291 	1116 1133 	291 	53 53 	53 
ENST00000558583 ENST00000489060 	ENST00000550977 	6097 1988 	1548 	6115 2006 	1550 	35 35 	51 
ENST00000588534 	ENST00000411406 ENST00000426371 	330 	334 846 	330 	334 846 	39 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	161 120 	484 	161 120 	53 	52 52 
ENST00000314675 	ENST00000319041 	2114 	642 	2114 	642 	53 	51 
ENST00000469535 	ENST00000368069 ENST00000241704 	5080 	4108 4233 	5095 	4108 4233 	38 	53 53 
ENST00000592379 	ENST00000475608 	149 	6 	149 	6 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	79 22 	349 	79 22 	51 	51 51 
ENST00000320934 	ENST00000529622 	4526 	365 	4526 	365 	52 	53 
ENST00000361681 	ENST00000361567 	491 	1729 	491 	1729 	34 	52 
ENST00000592379 	ENST00000475608 	72 	6 	72 	6 	53 	52 
ENST00000449131 	ENST00000492727 	4179 	71 	4179 	71 	53 	53 
ENST00000442281 ENST00000603274 ENST00000445820 ENST00000428199 	ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 ENST00000450871 ENST00000471639 ENST00000469883 ENST00000437866 	20 20 20 20 	306 221 240 334 290 221 240 252 306 221 240 378 	20 20 20 20 	306 221 240 334 290 221 240 252 306 221 240 378 	53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000295851 	ENST00000476438 	18642 	161 	18642 	161 	31 	51 
ENST00000335185 	ENST00000525054 	3764 	491 	3764 	491 	53 	52 
ENST00000449131 	ENST00000517577 	3741 	240 	3741 	240 	52 	53 
ENST00000543164 	ENST00000539714 	303 	22 	311 	22 	45 	53 
ENST00000592379 	ENST00000582736 	32 	127 	32 	127 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	276 	1109 1126 	276 	53 53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3450 	799 332 350 216 214 356 555 355 387 355 332 	3450 	799 332 350 216 214 356 555 355 387 355 332 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000306888 	ENST00000507206 	3625 	166 	3625 	166 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	161 120 	484 	161 120 	53 	52 52 
ENST00000589611 	ENST00000302759 ENST00000478175 ENST00000535254 	233 	2720 596 2609 	244 	2720 596 2609 	40 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	446 	230 55 	446 	233 58 	52 	49 49 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2222 	554 593 451 1680 	2222 	554 593 451 1680 	53 	53 53 53 53 
ENST00000361681 ENST00000506002 	ENST00000361567 	412 412 	1668 	412 412 	1668 	53 53 	53 
ENST00000314675 	ENST00000319041 	2088 	620 	2088 	620 	53 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	363 	80 23 	364 	80 23 	52 	50 50 
ENST00000309041 ENST00000397838 	ENST00000552121 	7484 6639 	1438 	7484 6639 	1438 	53 53 	52 
ENST00000514253 	ENST00000510019 ENST00000511844 	468 	155 114 	468 	155 114 	52 	53 53 
ENST00000564123 	ENST00000568172 	298 	434 	298 	434 	51 	53 
ENST00000508814 	ENST00000510019 	301 	255 	301 	255 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	77 20 	376 	77 20 	53 	52 52 
ENST00000332539 	ENST00000535217 	2762 	1378 	2762 	1378 	52 	51 
ENST00000445338 	ENST00000378572 	438 	92 	438 	92 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	354 	79 22 	354 	79 22 	53 	51 51 
ENST00000514253 	ENST00000510019 	444 	202 	444 	202 	53 	52 
ENST00000570630 ENST00000448504 	ENST00000590402 ENST00000591744 	3656 3656 	482 543 	3656 3656 	482 543 	53 53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 	306 237 	218 	306 237 	218 	53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3491 	789 322 340 173 206 204 345 545 345 377 345 322 	3492 	789 322 340 173 206 204 345 545 345 377 345 322 	52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2087 	614 	2087 	614 	53 	53 
ENST00000361681 	ENST00000361567 	489 	1661 	489 	1661 	36 	53 
ENST00000607555 	ENST00000586791 	67 	819 	70 	834 	31 	32 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	278 	200 210 255 	278 	204 214 259 	53 	48 48 48 
ENST00000302787 	ENST00000543341 	4555 	2236 	4563 	2236 	45 	52 
ENST00000361681 ENST00000506002 	ENST00000361567 	427 427 	1745 	433 433 	1745 	47 47 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	87 85 227 	3744 	87 85 227 	53 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3475 	820 353 376 371 377 378 376 353 	3475 	820 353 376 371 377 378 376 353 	53 	53 53 53 53 53 53 53 53 
ENST00000594552 	ENST00000589528 	965 	359 	967 	359 	51 	53 
ENST00000335185 	ENST00000526267 ENST00000525054 	3696 	431 472 	3696 	431 472 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	97 95 237 	3744 	97 95 237 	53 	53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3031 2932 2686 	284 	3031 2932 2686 	284 	53 53 53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1107 1124 	275 	1107 1124 	275 	52 52 	53 
ENST00000449131 	ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 	3592 	168 201 199 340 540 340 372 	3592 	168 201 199 340 540 340 372 	36 	53 53 53 53 53 53 53 
ENST00000481916 ENST00000584196 ENST00000580938 ENST00000582966 ENST00000553023 ENST00000476192 ENST00000504880 ENST00000497426 ENST00000581050 	ENST00000521576 ENST00000297798 ENST00000411432 	961 975 961 975 9 6074 902 6074 1005 	191 191 3491 	961 975 961 975 9 6074 902 6074 1005 	191 191 3491 	53 53 53 53 53 53 53 53 53 	49 49 49 
ENST00000548326 	ENST00000300527 ENST00000436769 ENST00000409416 ENST00000397763 ENST00000357838 ENST00000310645 	752 	443 717 402 366 421 421 	752 	443 717 402 366 421 421 	52 	53 53 53 53 53 53 
ENST00000357721 	ENST00000542781 ENST00000535408 	5300 	719 723 	5300 	719 723 	53 	52 52 
ENST00000526234 	ENST00000377403 ENST00000602477 ENST00000495451 	635 	4785 4668 1447 	637 	4785 4668 1447 	49 	52 52 52 
ENST00000449131 	ENST00000517577 ENST00000492727 	3743 	222 219 	3743 	222 219 	52 	53 53 
ENST00000314675 	ENST00000319041 	2089 	573 	2089 	573 	53 	51 
ENST00000314595 	ENST00000514062 ENST00000537922 	3694 	284 791 	3694 	284 791 	53 	53 53 
ENST00000508814 	ENST00000510019 	306 	241 	306 	241 	53 	53 
ENST00000309733 	ENST00000469971 ENST00000481617 	8123 	324 2590 	8123 	324 2590 	53 	53 53 
ENST00000589243 ENST00000533058 	ENST00000525372 ENST00000524428 ENST00000525039 ENST00000586306 ENST00000587792 ENST00000590663 	632 632 	1197 1335 1589 1196 1334 1588 	632 632 	1197 1335 1589 1196 1334 1588 	53 53 	53 53 53 53 53 53 
ENST00000514253 	ENST00000511844 	513 	96 	515 	96 	50 	53 
ENST00000261783 	ENST00000486325 	1657 	594 	1657 	594 	53 	38 
ENST00000366582 	ENST00000323938 	8393 	1783 	8393 	1783 	52 	53 
ENST00000469528 ENST00000495588 	ENST00000605528 ENST00000467930 	123 -1 	413 396 	132 8 	413 396 	39 39 	53 53 
ENST00000506530 ENST00000503162 ENST00000515766 	ENST00000567697 	3276 453 59 	2077 	3293 470 76 	2091 	33 33 33 	32 
ENST00000393937 	ENST00000462909 ENST00000437202 	2331 	1186 1331 	2331 	1186 1331 	51 	53 53 
ENST00000314675 	ENST00000319041 	2122 	527 	2122 	527 	53 	53 
ENST00000560723 	ENST00000559556 	423 	847 	423 	847 	53 	51 
ENST00000546192 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2243 	517 556 414 1643 	2243 	517 556 414 1643 	53 	52 52 52 52 
ENST00000379558 	ENST00000409562 ENST00000487003 ENST00000539493 ENST00000229465 ENST00000602666 	6387 	3149 94 305 1298 2677 	6396 	3149 94 305 1298 2677 	33 	53 53 53 53 53 
ENST00000361681 	ENST00000361567 	486 	1672 	486 	1672 	39 	53 
ENST00000538789 	ENST00000472643 ENST00000526894 ENST00000531361 	1248 	750 643 581 	1248 	750 643 581 	51 	53 53 53 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	216 41 	443 	216 41 	53 	52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3477 	798 331 349 215 213 355 554 354 386 354 331 	3477 	799 332 350 216 214 356 555 355 387 355 332 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	496 	114 	496 	116 	53 	51 
ENST00000607772 	ENST00000460259 ENST00000354250 ENST00000340344 	17286 	1933 1479 381 	17286 	1933 1479 381 	36 	53 53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 	278 	233 243 	278 	233 243 	53 	53 53 
ENST00000546192 ENST00000545141 	ENST00000446652 ENST00000489781 ENST00000485724 	2312 219 	345 1574 460 	2312 219 	345 1574 460 	52 52 	53 53 53 
ENST00000603027 	ENST00000603309 	4328 	773 	4328 	773 	53 	53 
ENST00000312675 ENST00000543006 ENST00000476192 ENST00000558583 ENST00000497426 ENST00000474698 	ENST00000409562 ENST00000604604 	13384 13327 4691 5786 4691 4690 	2709 1062 	13384 13327 4691 5786 4691 4690 	2709 1062 	53 53 53 53 53 53 	50 50 
ENST00000380615 	ENST00000378509 	4404 	2719 	4404 	2719 	32 	52 
ENST00000350119 ENST00000564233 ENST00000564357 	ENST00000304516 ENST00000562441 ENST00000567705 	1815 3500 1133 	1245 1123 776 	1815 3500 1133 	1245 1123 776 	53 53 53 	53 53 53 
ENST00000469528 ENST00000495588 	ENST00000605528 ENST00000396982 ENST00000467930 	128 4 	417 358 400 	128 4 	417 358 400 	53 53 	51 51 51 
ENST00000429412 ENST00000546113 ENST00000474698 	ENST00000604604 	1684 1684 5416 	299 	1703 1703 5435 	299 	34 34 34 	46 
ENST00000335185 	ENST00000525054 	3747 	464 	3748 	464 	52 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	87 30 	351 	87 30 	53 	50 50 
ENST00000514253 	ENST00000510019 	482 	213 	482 	213 	42 	53 
ENST00000541436 	ENST00000412860 	1649 	1520 	1649 	1520 	53 	51 
ENST00000529704 ENST00000341865 ENST00000479805 ENST00000339464 	ENST00000502304 	1180 4599 575 2199 	162 	1200 4619 595 2219 	169 	33 33 33 33 	46 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2985 2886 2640 	217 	2985 2886 2640 	217 	51 51 51 	53 
ENST00000514253 	ENST00000511844 	498 	136 	498 	136 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4144 	107 309 109 109 	4144 	107 309 109 109 	53 	52 52 52 52 
ENST00000449131 	ENST00000406984 	3448 	142 	3448 	149 	53 	45 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	105 307 107 107 	4149 	105 307 107 107 	52 	52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000450676 	4149 	77 79 	4149 	77 79 	52 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	143 102 	484 	143 102 	53 	53 53 
ENST00000345662 ENST00000315285 ENST00000594104 ENST00000591517 ENST00000525841 	ENST00000308580 	3608 3608 784 2470 298 	2900 	3608 3608 784 2470 298 	2900 	51 51 51 51 51 	52 
ENST00000419932 	ENST00000434257 ENST00000454872 ENST00000485853 ENST00000473253 	222 	345 295 253 399 	222 	345 295 253 399 	53 	53 53 53 53 
ENST00000463943 	ENST00000265838 ENST00000531813 ENST00000532792 ENST00000533610 	415 	896 727 300 266 	415 	896 727 300 266 	51 	53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	103 101 243 	3759 	103 101 243 	52 	52 52 52 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	295 	1946 2078 2525 	295 	53 53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	175 134 	482 	175 134 	53 	53 53 
