ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	391 	662 671 675 557 	391 	662 671 675 557 	53 	52 52 52 52 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	280 211 	136 146 191 	280 211 	136 146 191 	53 53 	53 53 53 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	203 85 83 225 203 	3744 	224 106 104 246 224 	53 	32 32 32 32 32 
ENST00000397488 ENST00000324385 ENST00000566162 ENST00000397489 	ENST00000566296 	4524 4619 640 4522 	491 	4524 4619 640 4522 	491 	52 52 52 52 	51 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1946 2078 2525 	330 	1946 2078 2525 	330 	53 53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3475 	812 345 368 363 369 370 568 368 400 368 345 	3475 	812 345 368 363 369 370 568 368 400 368 345 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000534030 	ENST00000530320 	420 	552 	420 	552 	51 	53 
ENST00000449131 	ENST00000347055 	3544 	416 	3544 	416 	53 	50 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	82 80 222 219 	3744 	82 80 222 219 	53 	53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3072 2973 2727 	318 	3072 2973 2727 	318 	52 52 52 	53 
ENST00000479583 ENST00000466582 ENST00000485088 	ENST00000265641 ENST00000405000 ENST00000489074 ENST00000510256 	1498 1518 1518 	4509 3709 582 582 	1511 1531 1531 	4510 3710 583 583 	40 40 40 	33 33 33 33 
ENST00000449131 	ENST00000530019 ENST00000492727 	3757 	319 111 	3762 	319 111 	48 	53 53 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000503605 	262 	192 202 247 383 	262 	192 202 247 383 	52 	52 52 52 52 
ENST00000471694 ENST00000355354 	ENST00000348035 ENST00000356142 ENST00000488373 ENST00000497741 ENST00000495499 ENST00000394695 	5626 3851 	743 784 761 546 492 730 	5634 3859 	743 784 761 546 492 730 	34 34 	53 53 53 53 53 53 
ENST00000573577 ENST00000571558 ENST00000575599 ENST00000381209 ENST00000571043 ENST00000571613 ENST00000539417 ENST00000381208 	ENST00000225698 ENST00000574444 	1154 1295 1231 1407 1419 1560 1343 1266 	911 667 	1154 1295 1231 1407 1419 1560 1343 1266 	911 667 	53 53 53 53 53 53 53 53 	53 53 
ENST00000603274 	ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 	40 	295 210 229 323 279 210 229 241 	40 	295 210 229 323 279 210 229 241 	52 	51 51 51 51 51 51 51 51 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4149 	96 298 98 98 	4149 	96 298 98 98 	52 	50 50 50 50 
ENST00000514253 	ENST00000510019 	468 	199 	468 	199 	52 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3490 	813 346 369 364 370 371 569 369 401 369 346 	3490 	813 346 369 364 370 371 569 369 401 369 346 	53 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000320934 	ENST00000529622 	4517 	337 	4517 	337 	53 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3482 	826 359 382 377 383 384 382 359 	3482 	826 359 382 377 383 384 382 359 	52 	53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	275 	1118 1135 	275 	53 53 	53 
ENST00000565677 ENST00000569248 ENST00000564316 	ENST00000570037 ENST00000562111 	1462 1784 631 	762 715 	1462 1784 631 	762 715 	53 53 53 	53 53 
ENST00000514253 	ENST00000510019 	476 	229 	476 	229 	53 	53 
ENST00000308511 	ENST00000519335 	4431 	644 	4431 	644 	52 	52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3408 	797 330 348 214 212 353 385 353 330 	3408 	797 330 348 214 212 353 385 353 330 	53 	50 50 50 50 50 50 50 50 50 
ENST00000361681 	ENST00000509479 	113 	3965 	113 	3965 	53 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	34 	51 36 	34 	51 36 	53 	52 52 
ENST00000554081 	ENST00000557324 	3130 	573 	3130 	573 	53 	53 
ENST00000333139 ENST00000446232 ENST00000539061 	ENST00000358230 	1192 1060 2462 	2772 	1192 1060 2462 	2772 	53 53 53 	51 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3052 2953 2707 	325 	3052 2953 2707 	325 	53 53 53 	51 
ENST00000314675 	ENST00000319041 	2089 	402 	2089 	402 	53 	52 
ENST00000466830 	ENST00000429369 ENST00000463512 	5289 	76 1061 	5289 	76 1061 	53 	52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	279 	200 210 255 	279 	200 210 255 	53 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1114 1131 	291 	1115 1132 	291 	52 52 	53 
ENST00000514253 	ENST00000510019 	464 	205 	464 	205 	53 	53 
ENST00000538183 	ENST00000429412 ENST00000546113 ENST00000334567 ENST00000508075 ENST00000469632 ENST00000586722 ENST00000458297 ENST00000566753 ENST00000550977 ENST00000522378 ENST00000397418 ENST00000481617 ENST00000488477 ENST00000406053 ENST00000295025 	7571 	2372 2372 1013 567 674 1367 1285 1646 1607 2216 2216 3837 467 1530 8347 	7576 	2372 2372 1013 567 674 1367 1285 1646 1607 2216 2216 3837 467 1530 8347 	42 	34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4141 	105 307 107 107 	4143 	105 307 107 107 	51 	52 52 52 52 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4140 	102 304 104 104 	4141 	102 304 104 104 	52 	53 53 53 53 
ENST00000514253 	ENST00000510019 	468 	189 	468 	189 	52 	51 
ENST00000514253 	ENST00000510019 	476 	206 	476 	206 	53 	52 
ENST00000484831 	ENST00000452875 	1664 	3852 	1664 	3852 	51 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2282 2183 1937 	155 284 	2282 2183 1937 	155 284 	53 53 53 	53 53 
ENST00000327606 ENST00000548855 ENST00000495603 	ENST00000372454 ENST00000442878 ENST00000259751 ENST00000372452 ENST00000372449 ENST00000483640 ENST00000478173 ENST00000459851 ENST00000490050 ENST00000454762 ENST00000372444 ENST00000372445 ENST00000436109 ENST00000438588 	2060 3619 14 	474 524 572 517 517 507 311 135 626 66 627 570 421 535 	2064 3623 18 	474 524 572 517 517 507 311 135 626 66 627 570 421 535 	49 49 49 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1098 1115 	116 154 	1098 1115 	116 154 	53 53 	53 53 
ENST00000343450 	ENST00000357618 ENST00000481276 ENST00000227155 ENST00000524750 ENST00000524119 ENST00000469537 ENST00000508335 	1967 	2205 1958 1461 583 2579 1327 1104 	1967 	2205 1958 1461 583 2579 1327 1104 	53 	53 53 53 53 53 53 53 
ENST00000449131 	ENST00000498161 ENST00000599364 	4169 	45 45 	4169 	45 45 	53 	52 52 
ENST00000592379 	ENST00000375231 ENST00000223428 	32 	3903 3441 	32 	3903 3441 	53 	50 50 
ENST00000472331 ENST00000467457 ENST00000484831 	ENST00000452875 	916 1465 1653 	3839 	916 1465 1653 	3839 	51 51 51 	53 
ENST00000335185 	ENST00000531921 ENST00000525782 ENST00000323213 ENST00000524711 ENST00000525054 	3737 	1616 1310 813 1427 250 	3737 	1616 1310 813 1427 250 	53 	53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	229 180 	1152 1169 	229 180 	53 53 	52 52 
ENST00000254190 ENST00000327470 ENST00000566136 	ENST00000265044 	3633 2003 1570 	2114 	3633 2003 1570 	2114 	32 32 32 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	281 	1118 1135 	281 	53 53 	51 
ENST00000502505 ENST00000610232 	ENST00000518145 	2690 2690 	490 	2690 2690 	502 	48 48 	31 
ENST00000393459 ENST00000470252 ENST00000224807 	ENST00000360415 ENST00000395326 ENST00000415001 	2592 2039 2587 	2114 1991 1534 	2612 2059 2607 	2114 1991 1534 	33 33 33 	53 53 53 
ENST00000418663 ENST00000450661 	ENST00000395270 ENST00000358357 ENST00000446813 ENST00000257622 ENST00000575107 ENST00000575723 ENST00000575645 ENST00000574731 ENST00000415277 ENST00000423648 ENST00000576770 	843 842 	759 82 759 759 759 759 759 82 459 433 459 	843 842 	759 82 759 759 759 759 759 82 459 433 459 	53 53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000361567 	ENST00000225964 ENST00000474644 	711 	167 167 	711 	167 167 	45 	50 50 
ENST00000514253 	ENST00000510019 	443 	199 	443 	199 	53 	52 
ENST00000449131 	ENST00000517577 	3743 	243 	3743 	243 	52 	52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	345 	629 638 642 524 	359 	629 638 642 524 	39 	53 53 53 53 
ENST00000476500 ENST00000471884 ENST00000412969 ENST00000370708 	ENST00000380394 ENST00000380384 ENST00000315377 ENST00000380381 ENST00000464444 	1117 1247 1016 6279 	70 593 116 52 11 	1128 1258 1027 6290 	70 593 116 52 11 	39 39 39 39 	46 46 46 46 46 
ENST00000306888 	ENST00000507206 	3615 	188 	3615 	188 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 ENST00000492727 	3744 	82 80 222 219 	3744 	82 80 222 219 	53 	53 53 53 53 
ENST00000473204 ENST00000464387 ENST00000375504 	ENST00000585891 	1945 1540 1948 	0 	1946 1541 1949 	0 	51 51 51 	50 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	280 211 	69 79 124 83 	280 211 	69 79 124 83 	53 53 	53 53 53 53 
ENST00000377957 ENST00000574474 ENST00000472200 ENST00000397333 ENST00000462829 ENST00000366221 ENST00000333703 ENST00000577663 ENST00000497663 ENST00000284061 ENST00000293272 ENST00000366113 ENST00000463941 ENST00000490577 ENST00000361183 ENST00000408966 ENST00000556123 ENST00000409734 ENST00000504669 ENST00000476121 ENST00000305188 ENST00000301439 ENST00000494079 ENST00000391743 ENST00000408959 ENST00000491193 ENST00000603197 ENST00000605140 ENST00000605509 ENST00000574314 ENST00000576928 ENST00000583900 ENST00000339094 ENST00000426371 	ENST00000573126 ENST00000299163 ENST00000535666 	3654 3733 2721 2865 1191 904 4391 1132 17 6871 800 679 665 1248 2881 1498 3883 1049 2958 1353 3771 1578 764 2492 1446 1293 800 679 665 2492 2575 2493 2034 995 	1016 12079 901 	3654 3733 2721 2865 1191 904 4391 1132 17 6871 800 679 665 1248 2881 1498 3883 1049 2958 1353 3771 1578 764 2492 1446 1293 800 679 665 2492 2575 2493 2034 995 	1016 12079 901 	48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 48 	36 36 36 
ENST00000469528 ENST00000495588 	ENST00000396982 ENST00000467930 	128 4 	365 407 	128 4 	365 407 	53 53 	51 51 
ENST00000469528 ENST00000495588 	ENST00000396982 ENST00000467930 	128 4 	365 407 	128 4 	365 407 	53 53 	51 51 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	359 	648 657 661 543 	359 	648 657 661 543 	53 	53 53 53 53 
ENST00000361681 	ENST00000361567 	248 	1576 	248 	1576 	33 	53 
ENST00000366898 	ENST00000402297 ENST00000397064 ENST00000406711 ENST00000392061 ENST00000397226 	3892 	157 157 319 137 547 	3892 	157 157 319 137 547 	32 	53 53 53 53 53 
ENST00000314675 	ENST00000319041 	2104 	614 	2104 	614 	50 	53 
ENST00000333139 ENST00000446232 	ENST00000309955 ENST00000544076 	1130 998 	3720 1421 	1130 998 	3720 1421 	33 33 	51 51 
ENST00000449131 	ENST00000492727 	4169 	107 	4169 	107 	53 	52 
ENST00000492890 ENST00000480287 	ENST00000361226 	885 599 	5065 	906 620 	5065 	32 32 	50 
ENST00000531383 ENST00000534026 ENST00000564733 	ENST00000377957 ENST00000508504 ENST00000371655 ENST00000369985 ENST00000369981 ENST00000238831 ENST00000567425 ENST00000564372 ENST00000565289 ENST00000563014 ENST00000496462 ENST00000475966 ENST00000395337 ENST00000307792 ENST00000269391 ENST00000319945 ENST00000305188 ENST00000560440 ENST00000216264 ENST00000438197 ENST00000441801 ENST00000416379 ENST00000339375 ENST00000450876 ENST00000345589 ENST00000574773 ENST00000399387 ENST00000606041 ENST00000605787 	1181 1015 2263 	3493 134 1521 7880 7969 4120 2216 2350 3239 1965 1377 165 4287 6192 2805 2674 3610 2473 3494 1451 1241 2216 2350 3239 1965 2494 641 165 388 	1181 1015 2263 	3493 134 1521 7880 7969 4120 2216 2350 3239 1965 1377 165 4287 6192 2805 2674 3610 2473 3494 1451 1241 2216 2350 3239 1965 2494 641 165 388 	51 51 51 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000529271 ENST00000552937 ENST00000549640 ENST00000549785 ENST00000550234 ENST00000547979 	ENST00000392857 	424 96 96 96 96 96 	4499 	424 96 96 96 96 96 	4499 	53 53 53 53 53 53 	52 
ENST00000366582 	ENST00000323938 	8256 	1747 	8261 	1756 	47 	42 
ENST00000546192 ENST00000545141 	ENST00000540535 ENST00000541656 ENST00000446652 ENST00000489781 	2291 198 	499 538 396 1625 	2291 198 	499 538 396 1625 	52 52 	52 52 52 52 
ENST00000538789 	ENST00000472643 ENST00000526894 ENST00000531361 	1202 	749 642 580 	1202 	749 642 580 	53 	53 53 53 
ENST00000409562 ENST00000493254 	ENST00000394511 ENST00000355520 	2738 2057 	232 7500 	2738 2057 	248 7516 	46 46 	37 37 
ENST00000538264 ENST00000577843 ENST00000578332 ENST00000583315 	ENST00000515175 ENST00000513414 ENST00000510040 	916 916 916 916 	146 73 15 	921 921 921 921 	152 79 21 	48 48 48 48 	44 44 44 
ENST00000508814 	ENST00000510210 ENST00000512493 	280 	243 253 	280 	259 269 	53 	37 37 
ENST00000314675 	ENST00000319041 	2118 	564 	2118 	564 	53 	53 
ENST00000519409 	ENST00000523255 ENST00000523644 	218 	608 190 	218 	608 190 	52 	52 52 
ENST00000418543 ENST00000548381 ENST00000242796 	ENST00000601537 	1384 1353 1123 	1004 	1384 1353 1123 	1004 	53 53 53 	53 
ENST00000610020 	ENST00000392857 	7500 	4826 	7503 	4826 	50 	53 
ENST00000592379 	ENST00000582736 ENST00000475608 	28 	51 36 	29 	51 36 	52 	52 52 
ENST00000314675 	ENST00000319041 	2114 	545 	2114 	545 	53 	52 
ENST00000307980 ENST00000535644 	ENST00000358239 	2002 1506 	973 	2002 1506 	973 	52 52 	52 
ENST00000598288 ENST00000595148 	ENST00000532572 	46 46 	4894 	57 57 	4910 	33 33 	36 
ENST00000350119 ENST00000564233 ENST00000564357 	ENST00000304516 ENST00000567705 	1833 3518 1151 	1265 796 	1833 3518 1151 	1265 796 	53 53 53 	53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	366 	77 20 	366 	77 20 	53 	52 52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	357 	629 638 642 524 	359 	629 638 642 524 	50 	53 53 53 53 
ENST00000560723 	ENST00000559556 	419 	859 	419 	859 	52 	51 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3492 	784 335 168 201 199 340 540 340 372 340 	3492 	784 335 168 201 199 340 540 340 372 340 	53 	53 53 53 53 53 53 53 53 53 53 
ENST00000450142 ENST00000437004 ENST00000546762 ENST00000550903 ENST00000550299 ENST00000546369 ENST00000550107 ENST00000551781 ENST00000261207 	ENST00000316292 ENST00000309268 ENST00000490569 ENST00000331523 ENST00000495333 ENST00000488500 ENST00000356303 ENST00000455918 ENST00000434005 ENST00000318052 ENST00000436459 ENST00000501580 ENST00000513637 ENST00000415278 ENST00000503537 ENST00000599509 	2738 2599 222 239 19 2349 2303 383 2594 	1189 816 230 442 230 230 396 578 197 197 197 192 197 197 200 197 	2738 2599 222 239 19 2349 2303 383 2594 	1189 816 230 442 230 230 396 578 197 197 197 192 197 197 200 197 	51 51 51 51 51 51 51 51 51 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000591627 ENST00000591453 	ENST00000357421 ENST00000594199 	555 416 	2284 2285 	572 433 	2284 2285 	35 35 	53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3470 	826 359 382 377 383 384 382 359 	3470 	826 359 382 377 383 384 382 359 	51 	53 53 53 53 53 53 53 53 
ENST00000592379 	ENST00000582736 	39 	58 	39 	58 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4128 	107 309 109 109 	4128 	107 309 109 109 	52 	52 52 52 52 
ENST00000514253 	ENST00000511844 	495 	115 	495 	115 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	275 	1116 1133 	275 	53 53 	53 
ENST00000382021 ENST00000303525 ENST00000295065 ENST00000549235 ENST00000556292 ENST00000489047 ENST00000550746 ENST00000410026 ENST00000547440 ENST00000301335 ENST00000367942 	ENST00000465065 ENST00000012049 ENST00000366382 ENST00000460376 	3101 3005 3531 294 337 3178 3755 9635 1685 6703 2900 	2596 1742 1246 1877 	3101 3005 3531 294 337 3178 3755 9635 1685 6703 2900 	2596 1742 1246 1877 	53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 
ENST00000450185 	ENST00000457282 ENST00000451114 ENST00000442361 ENST00000594330 ENST00000596565 ENST00000596501 	1743 	446 135 731 446 135 731 	1753 	446 135 731 446 135 731 	40 	37 37 37 37 37 37 
ENST00000429656 ENST00000445820 ENST00000417944 ENST00000451967 ENST00000428199 ENST00000580020 	ENST00000478740 	182 182 182 182 182 182 	10 	183 183 183 183 183 183 	10 	50 50 50 50 50 50 	53 
ENST00000492999 	ENST00000424633 ENST00000454660 ENST00000477007 	278 	63 63 63 	278 	63 63 63 	53 	53 53 53 
ENST00000568313 	ENST00000567173 ENST00000563505 ENST00000566181 	758 	573 624 297 	758 	573 624 297 	53 	53 53 53 
ENST00000592379 	ENST00000437246 	59 	76 	59 	76 	53 	52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000300107 ENST00000342607 ENST00000449592 ENST00000411958 ENST00000355502 ENST00000594617 ENST00000496255 	ENST00000506793 ENST00000281543 ENST00000511493 	2596 2021 3610 296 4432 3799 75 	2525 2837 913 	2605 2030 3619 305 4441 3808 84 	2525 2837 913 	43 43 43 43 43 43 43 	52 52 52 
ENST00000361681 	ENST00000361567 	491 	1729 	491 	1729 	34 	52 
ENST00000392857 ENST00000600751 	ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000355520 ENST00000223073 ENST00000354232 ENST00000282074 ENST00000261200 ENST00000564458 ENST00000564795 	5567 2669 	6540 4013 6345 326 5109 3545 7193 15387 1356 1232 6788 1037 1037 	5567 2669 	6551 4024 6356 337 5120 3556 7204 15398 1367 1243 6799 1048 1048 	53 53 	41 41 41 41 41 41 41 41 41 41 41 41 41 
ENST00000514253 	ENST00000510019 ENST00000511844 	471 	88 47 	471 	88 47 	53 	52 52 
ENST00000449131 	ENST00000530019 ENST00000492727 	3744 	319 111 	3744 	319 111 	53 	53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000293882 ENST00000454700 	ENST00000563505 ENST00000564316 	1635 1802 1599 1623 1530 1725 1635 	555 58 	1635 1802 1599 1623 1530 1725 1635 	555 58 	53 53 53 53 53 53 53 	53 53 
ENST00000373176 ENST00000407780 ENST00000529650 ENST00000327381 ENST00000496420 	ENST00000481195 	1683 6303 19 10588 129 	4309 	1687 6307 23 10592 133 	4321 	48 48 48 48 48 	37 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3744 	213 95 93 235 213 	3744 	213 95 93 235 213 	53 	51 51 51 51 51 
ENST00000307980 ENST00000535644 	ENST00000358239 	2030 1534 	923 	2030 1534 	923 	53 53 	51 
ENST00000551193 	ENST00000549182 	271 	399 	271 	399 	53 	52 
ENST00000424834 ENST00000382095 ENST00000399949 ENST00000382108 ENST00000301395 ENST00000574154 ENST00000381550 ENST00000336126 ENST00000240719 ENST00000376233 ENST00000574721 ENST00000493497 ENST00000355824 ENST00000521460 	ENST00000525025 	5168 3227 2756 5017 1857 2190 1966 4900 3694 3665 2259 1058 970 206 	0 	5168 3227 2756 5017 1857 2190 1966 4900 3694 3665 2259 1058 970 206 	0 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	34 
ENST00000481617 ENST00000295025 	ENST00000558583 	3887 8397 	6093 	3887 8397 	6093 	52 52 	53 
ENST00000320934 	ENST00000529622 	4521 	420 	4521 	420 	53 	53 
ENST00000603274 ENST00000417944 ENST00000451967 ENST00000450479 ENST00000580020 	ENST00000457879 ENST00000438861 ENST00000453975 ENST00000487534 ENST00000460542 ENST00000470534 ENST00000547271 ENST00000479494 ENST00000476132 ENST00000453057 ENST00000455882 ENST00000471291 ENST00000413609 ENST00000547522 	115 115 115 115 115 	495 463 159 156 154 154 176 152 152 152 152 152 152 176 	129 129 129 129 129 	495 463 159 156 154 154 176 152 152 152 152 152 152 176 	39 39 39 39 39 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	379 	79 22 	379 	79 22 	53 	51 51 
ENST00000583973 ENST00000585004 ENST00000319815 	ENST00000368026 ENST00000289779 	22 1185 16 	1884 1891 	42 1205 36 	1884 1891 	33 33 33 	52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	223 	307 238 	223 	53 53 	52 
ENST00000303088 ENST00000456252 ENST00000407360 ENST00000392324 ENST00000540977 ENST00000544923 ENST00000536253 ENST00000353145 	ENST00000420605 ENST00000539693 	1282 1203 1154 937 264 169 252 1244 	608 809 	1282 1203 1154 937 264 169 252 1244 	608 809 	52 52 52 52 52 52 52 52 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3005 2906 2660 	138 	3006 2907 2661 	138 	52 52 52 	45 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3487 	780 331 164 197 195 336 536 336 368 336 	3487 	780 331 164 197 195 336 536 336 368 336 	51 	53 53 53 53 53 53 53 53 53 53 
ENST00000538183 	ENST00000522754 	11007 	1021 	11007 	1036 	53 	35 
ENST00000463943 	ENST00000335179 ENST00000545072 	368 	83 26 	368 	83 26 	53 	50 50 
ENST00000592379 	ENST00000475608 	73 	7 	73 	7 	50 	51 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 	3369 	782 333 166 199 197 338 338 370 338 	3369 	782 333 166 199 197 338 338 370 338 	53 	53 53 53 53 53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	381 	77 20 	381 	77 20 	53 	52 52 
ENST00000301178 ENST00000336086 ENST00000474550 ENST00000566157 ENST00000574094 ENST00000313552 ENST00000369308 ENST00000449302 ENST00000604000 ENST00000434828 ENST00000262870 ENST00000400461 ENST00000411519 	ENST00000372092 ENST00000553724 ENST00000375771 ENST00000375766 ENST00000400773 ENST00000409290 ENST00000368043 ENST00000368042 ENST00000359331 ENST00000484221 	3429 1262 5669 3854 2161 2661 2360 3254 2216 285 1284 1656 2006 	783 2615 2473 2670 2038 3583 2254 1930 2124 3107 	3450 1283 5690 3875 2182 2682 2381 3275 2237 306 1305 1677 2027 	783 2615 2473 2670 2038 3583 2254 1930 2124 3107 	32 32 32 32 32 32 32 32 32 32 32 32 32 	34 34 34 34 34 34 34 34 34 34 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	86 84 226 	3764 	86 84 226 	48 	52 52 52 
ENST00000371344 ENST00000298249 ENST00000373758 	ENST00000393295 ENST00000471497 ENST00000273541 	790 2994 2994 	1563 891 1384 	790 2994 2994 	1563 891 1384 	32 32 32 	52 52 52 
ENST00000396700 ENST00000548724 ENST00000323944 	ENST00000374523 ENST00000480346 ENST00000428849 ENST00000494554 ENST00000448818 ENST00000492385 	2783 2783 2900 	2217 206 2217 206 2217 206 	2783 2783 2900 	2217 206 2217 206 2217 206 	33 33 33 	51 51 51 51 51 51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3471 	814 347 370 365 371 372 570 370 402 370 347 	3471 	814 347 370 365 371 372 570 370 402 370 347 	50 	51 51 51 51 51 51 51 51 51 51 51 
ENST00000600466 	ENST00000494901 ENST00000309983 ENST00000373839 ENST00000373836 ENST00000250111 	2373 	2415 1239 5006 4989 2091 	2373 	2415 1239 5006 4989 2091 	53 	31 31 31 31 31 
ENST00000570780 ENST00000391950 	ENST00000441206 	1083 1100 	256 	1083 1100 	256 	53 53 	51 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	794 327 345 211 209 550 350 382 350 327 	3482 	794 327 345 211 209 550 350 382 350 327 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1109 1126 	272 	1109 1126 	272 	53 53 	53 
ENST00000314675 	ENST00000319041 	2086 	606 	2086 	606 	53 	53 
ENST00000449131 	ENST00000406984 	3571 	135 	3571 	149 	53 	38 
ENST00000514253 	ENST00000510019 ENST00000511844 	468 	142 101 	468 	142 101 	52 	53 53 
ENST00000314675 	ENST00000319041 	2112 	630 	2112 	630 	52 	53 
ENST00000326877 	ENST00000514176 	3316 	2796 	3316 	2796 	53 	53 
ENST00000449131 	ENST00000492727 	4177 	103 	4177 	103 	53 	53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1943 2075 2522 	324 	1945 2077 2524 	324 	51 51 51 	53 
ENST00000512512 ENST00000295666 	ENST00000441246 	759 1153 	3635 	761 1155 	3635 	50 50 	53 
ENST00000449131 	ENST00000434913 ENST00000492727 	4177 	112 110 	4177 	112 110 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	86 84 226 	3744 	86 84 226 	53 	52 52 52 
